0,1,2,3,Min Jaccard Distance,Min Euclidean Distance,Most Matching Term by Jaccard,Most Matching Term by Euclidean,Most Matching Term by Levenshtein,Min Levenshtein Distance
10870296,Mother's income,is-a,Socioeconomic Factor,,,,,social_risk_factors,11.0
10870296,Mother's education,is-a,Socioeconomic Factor,,,,,social_risk_factors,11.0
10870296,Mother's ethnicity,is-a,Demographic Factor,,,,,social_risk_factors,12.0
22575229,Niamh,is-a,child with intractable epilepsy,,,,,'limited internet access',21.0
22575229,Carson,is-a,child with infantile spasms,,,,,'water with high pollutants',20.0
22575229,Matthew,is-a,child with Dravet Syndrome,,,,,'community near landfills',21.0
22575229,Charlie,is-a,child with intractable epilepsy,,,,,'limited internet access',21.0
22575229,Matthew's Friends,is-a,organization promoting dietary treatments for epilepsy,,,,,'rate of hate crimes in society',39.0
22575229,Carson Harris Foundation,is-a,organization promoting dietary awareness,,,,,'access to working utilities',29.0
22575229,The Charlie Foundation,is-a,organization promoting dietary treatments for epilepsy,,,,,'rate of hate crimes in society',39.0
22575229,Dietary Therapies,is-a,treatment for intractable epilepsy,,,,,'access to working utilities',24.0
22575229,Jim Abrahams,is-a,filmmaker,,,,,park_access,9.0
22575229,'First Do No Harm',is-a,film about epilepsy and dietary treatment,,,,,'mass incarceration',30.0
22575229,Ketogenic Diet,is-a,dietary treatment for epilepsy,,,,,'employment programs',22.0
9608112,FACES III,is-a,Family assessment instrument,,,,,'employment programs',19.0
9608112,Family Apgar,is-a,Family assessment instrument,,,,,'employment programs',19.0
9608112,Cohesion,is-a,Family characteristic,,,,,'mass incarceration',15.0
9608112,Flexibility,is-a,Family characteristic,,,,,'mass incarceration',15.0
9608112,Social determinants,is-a,Characteristic of families,,,,,social_risk_factors,19.0
9608112,Demographic determinants,is-a,Characteristic of families,,,,,social_risk_factors,19.0
9608112,Familiar determinants,is-a,Characteristic of families,,,,,social_risk_factors,19.0
9608112,Dr. José Castro Villagrana Primary Care Centre,is-a,Health Ministry,,,,,'polluted air',13.0
9608112,Observational,randomised survey,"is-a, Research method",,,,,park_access,16.0
9608112,Discriminant analysis statistical technique,is-a,Data analysis method,,,,,park_access,16.0
1635868,Poverty,is-a,social determinant of health,,,,,'social integration',17.0
1635868,Education,is-a,social determinant of health,,,,,'social integration',17.0
1635868,Employment,is-a,social determinant of health,,,,,'social integration',17.0
1635868,Social support,is-a,social determinant of health,,,,,'social integration',17.0
1635868,Access to health care,is-a,social determinant of health,,,,,'social integration',17.0
1635868,Housing,is-a,social determinant of health,,,,,'social integration',17.0
1635868,Neighborhood environment,is-a,social determinant of health,,,,,'social integration',17.0
1635868,Food security,is-a,social determinant of health,,,,,'social integration',17.0
1635868,Transportation,is-a,social determinant of health,,,,,'social integration',17.0
1635868,Stress,is-a,social determinant of health,,,,,'social integration',17.0
32020314,Postpartum psychosis,is-a,serious disorder,,,,,'polluted air',13.0
32020314,Postpartum psychosis,is-a,health experience,,,,,'polluted air',14.0
32020314,Recovery from postpartum psychosis,is-a,non-linear process,,,,,park_access,12.0
32020314,Systematic review,is-a,research method,,,,,park_access,13.0
32020314,Metasynthesis,is-a,research method,,,,,park_access,13.0
32020314,Thematic synthesis approach,is-a,research method,,,,,park_access,13.0
2096964,Deinstitutionalization,is-a,process,,,,,park_access,5.0
2096964,Family role,is-a,responsibility,,,,,'polluted air',13.0
2096964,Therapeutic environment,is-a,setting,,,,,park_access,11.0
2096964,Government service organizations,is-a,institution,,,,,park_access,11.0
2096964,Cohabitation,is-a,living arrangement,,,,,park_access,15.0
2096964,Patient-family relationship,is-a,social relation,0.6666666666666667,,'social integration',,'social integration',7.0
2096964,Parental role,is-a,responsibility,,,,,'polluted air',13.0
2096964,Women,is-a,demographic group,,,,,'polluted air',15.0
2096964,Emotional support,is-a,type of support,,,,,'polluted air',13.0
2096964,Service organizations,is-a,institution,,,,,park_access,11.0
2096964,Professionals,is-a,occupational group,,,,,'polluted air',15.0
2096964,Collective responsibility,is-a,social responsibility,0.6666666666666667,,'social integration',,'social opportunity',11.0
16410873,Father's involvement,is-a,paternal role in child health care,,,,,'poverty in neighborhood',25.0
16410873,Education,is-a,key dimension of paternal role,,,,,'limited internet access',23.0
16410873,Body care,is-a,key dimension of paternal role,,,,,'limited internet access',23.0
16410873,Preservation of integrity,is-a,key dimension of paternal role,,,,,'limited internet access',23.0
16410873,Low-income families,is-a,economic adversity,,,,,'polluted air',15.0
16410873,Ethnographic study,is-a,research methodology,,,,,'social integration',17.0
16410873,Participatory observation,is-a,research methodology,,,,,'social integration',17.0
16410873,Interviews,is-a,research methodology,,,,,'social integration',17.0
16410873,Outlying low-income urban neighborhood,is-a,study location,,,,,'polluted air',13.0
16410873,Northeast Brazil,is-a,geographical location,,,,,'foster collaboration',14.0
16410873,Small children,is-a,study population,,,,,community_composition,13.0
16410873,Family nucleus,is-a,family structure,,,,,'polluted air',13.0
16410873,Nuclear families,is-a,family structure,,,,,'polluted air',13.0
3617949,Home visits,is-a,method of identifying children at risk,,,,,'access to working utilities',29.0
3617949,Psychosocial situation,is-a,determinant of child's emotional development,,,,,'criminal activities in neighborhood',33.0
3617949,Family counseling,is-a,prevention method for psychiatric disorders in children,,,,,cause_of_psychological_hardship_in_children,34.0
3617949,High-risk families,is-a,category based on factors relevant for the child's emotional development,,,,,'rate of hate crimes in society',53.0
3617949,Psychiatric disorders in children,is-a,outcome of high-risk family situations,,,,,'access to public transportation',27.0
3617949,Outside psychiatrist and psychologist assessment,is-a,method of assessing emotional development of 5-year-olds,,,,,'rate of hate crimes in society',43.0
3617949,Counseling facilities,is-a,place for family visits and child development assessment,,,,,'limited internet access',41.0
1574365,Family routines,is-a,family characteristic,,,,,'mass incarceration',15.0
1574365,Home environment,is-a,family characteristic,,,,,'mass incarceration',15.0
1574365,Child health status,is-a,health indicator,,,,,'polluted air',13.0
1574365,Comprehensive screening examination,is-a,health assessment method,,,,,park_access,19.0
1574365,Head Start program,is-a,early childhood education program,,,,,'employment programs',23.0
1574365,Family risk factors,is-a,determinant of child health,,,,,'community violence',21.0
1574365,Improved family life suggestions,is-a,intervention strategy,,,,,'limited internet access',17.0
1574365,Low socioeconomic families,is-a,risk group,,,,,park_access,10.0
14825475,Poverty,is-a,Social Determinant of Health,,,,,'social integration',17.0
14825475,Education,is-a,Social Determinant of Health,,,,,'social integration',17.0
14825475,Housing,is-a,Social Determinant of Health,,,,,'social integration',17.0
14825475,Employment,is-a,Social Determinant of Health,,,,,'social integration',17.0
14825475,Social Support,is-a,Social Determinant of Health,,,,,'social integration',17.0
14825475,Access to Healthcare,is-a,Social Determinant of Health,,,,,'social integration',17.0
14825475,Nutrition,is-a,Social Determinant of Health,,,,,'social integration',17.0
14825475,Physical Environment,is-a,Social Determinant of Health,,,,,'social integration',17.0
14825475,Genetics,is-a,Biological Determinant of Health,,,,,'limited internet access',22.0
14825475,Age,is-a,Biological Determinant of Health,,,,,'limited internet access',22.0
14825475,Gender,is-a,Biological Determinant of Health,,,,,'limited internet access',22.0
14825475,Mental Health,is-a,Psychological Determinant of Health,,,,,'social integration',24.0
14825475,Stress,is-a,Psychological Determinant of Health,,,,,'social integration',24.0
14825475,Behavior,is-a,Lifestyle Determinant of Health,,,,,'limited internet access',21.0
15840418,BPD,is-a,psychiatric disorder,,,,,social_risk_factors,15.0
15840418,Anxiety disorders,is-a,psychiatric disorder,,,,,social_risk_factors,15.0
15840418,Depression,is-a,psychiatric disorder,,,,,social_risk_factors,15.0
15840418,Suicidality,is-a,psychiatric disorder,,,,,social_risk_factors,15.0
15840418,Childhood sexual abuse,is-a,traumatic life event,,,,,'community violence',16.0
15840418,Violence,is-a,traumatic life event,,,,,'community violence',16.0
15840418,Separation from parents,is-a,traumatic life event,,,,,'community violence',16.0
15840418,Childhood illness,is-a,traumatic life event,,,,,'community violence',16.0
25219947,Autism Spectrum Disorder,is-a,pervasive developmental disorder,,,,,'racism and violence in society',24.0
25219947,Social Communication Disorder,is-a,pervasive developmental disorder,,,,,'racism and violence in society',24.0
25219947,DSM-5,is-a,Diagnostic and Statistical Manual for Mental Disorders,,,,,'racism and violence in society',39.0
25219947,DSM-IV,is-a,Diagnostic and Statistical Manual for Mental Disorders,,,,,'racism and violence in society',39.0
14983766,Cancer,is-a,Disease,,,,,park_access,9.0
14983766,Patient,is-a,Person,,,,,park_access,9.0
14983766,Family,is-a,Social unit,0.6666666666666667,,'social integration',,'social opportunity',9.0
14983766,Nurse,is-a,Healthcare professional,,,,,'mass incarceration',17.0
14983766,Emotional support,is-a,Type of support,,,,,'polluted air',13.0
14983766,Educational resources,is-a,Type of resources,,,,,park_access,13.0
14983766,Cancer care,is-a,Type of healthcare,,,,,'polluted air',15.0
26168266,IVF-conceived twins,is-a,type of children,,,,,'polluted air',14.0
26168266,IVF-conceived singletons,is-a,type of children,,,,,'polluted air',14.0
26168266,Parent-child relationships,is-a,type of family relationships,,,,,'mass incarceration',20.0
26168266,Psychosocial adjustment,is-a,type of child development,,,,,'community violence',20.0
26168266,Parental conformity expectations,is-a,type of parenting behaviour,,,,,'social integration',20.0
32381064,Children in challenged humanitarian settings,is-a,High-risk group for mental health difficulties,,,,,'access to working utilities',32.0
32381064,Displaced children,is-a,High-risk group for mental health difficulties,,,,,'access to working utilities',32.0
32381064,Refugee children,is-a,High-risk group for mental health difficulties,,,,,'access to working utilities',32.0
32381064,Children in conflict/post conflict situations,is-a,High-risk group for mental health difficulties,,,,,'access to working utilities',32.0
32381064,Caregivers,is-a,Main protective factors for children's mental health,,,,,'proximity to hazardous sites',38.0
32381064,Strong Families programme,is-a,Intervention for improving child behaviour and family functioning,,,,,'perceived discrimination from society',48.0
32381064,SDQ,is-a,"Tool for assessing children's behavioural, emotional, and social issues",,,,,'racism and violence in society',52.0
32381064,PAFAS,is-a,Tool for measuring parenting practices and family functioning,,,,,'criminal activities in neighborhood',45.0
29393663,Mental illness narratives,is-a,type of family communication,,,,,community_composition,17.0
29393663,Young adults,is-a,type of family members,,,,,'polluted air',18.0
29393663,Parents,is-a,type of family members,,,,,'polluted air',18.0
29393663,Struggle and caution,is-a,themes in mental illness narratives,,,,,'access to public transportation',25.0
29393663,Mental illness awareness,is-a,lesson from mental illness narratives,,,,,'social integration',26.0
29393663,Understanding mental illness,is-a,lesson from mental illness narratives,,,,,'social integration',26.0
29393663,Narrative interventions,is-a,type of mental illness treatment approach,,,,,'limited internet access',30.0
34402658,Family-centred care,is-a,healthcare approach,,,,,'polluted air',15.0
34402658,Respect and dignity,is-a,component of family-centred care,,,,,'community violence',23.0
34402658,Information sharing,is-a,component of family-centred care,,,,,'community violence',23.0
34402658,Participation,is-a,component of family-centred care,,,,,'community violence',23.0
34402658,Collaboration,is-a,component of family-centred care,,,,,'community violence',23.0
34402658,Caring behaviour of staff,is-a,aspect of respect and dignity,,,,,'social opportunity',21.0
34402658,Being present with their child,is-a,aspect of respect and dignity,,,,,'social opportunity',21.0
34402658,A journey shared with other families,is-a,aspect of respect and dignity,,,,,'social opportunity',21.0
34402658,Being told information,is-a,aspect of information sharing,,,,,'social integration',19.0
34402658,Being heard,is-a,aspect of information sharing,,,,,'social integration',19.0
30556595,Atopic dermatitis,is-a,common childhood disease,,,,,community_composition,17.0
30556595,Atopic dermatitis,is-a,cause of behavior problems in children,,,,,cause_of_educational_hardship_in_children,21.0
30556595,Atopic dermatitis,is-a,cause of mood disorders in children,,,,,cause_of_educational_hardship_in_children,21.0
30556595,Atopic dermatitis,is-a,cause of sleep disturbance in children,,,,,cause_of_psychological_hardship_in_children,23.0
30556595,Quality of life,is-a,affected aspect in families with children suffering from AD,,,,,'criminal activities in neighborhood',44.0
30556595,Special diets,is-a,common management strategy for AD,,,,,community_composition,24.0
30556595,Irritant and allergen avoidance strategies,is-a,common management strategy for AD,,,,,community_composition,24.0
30556595,Alternative therapies,is-a,common management strategy for AD,,,,,community_composition,24.0
30556595,Early intervention and psychotherapy,is-a,potential solution for quality of life impairments due to AD,,,,,'rate of hate crimes in society',45.0
35210016,Childhood conduct problems,is-a,risk factor for child development,,,,,'access to working utilities',24.0
35210016,Evidence-based programs,is-a,solution for managing children's conduct problems,,,,,'rate of hate crimes in society',35.0
35210016,Implementation costs,is-a,barrier to access evidence-based programs,,,,,'employment programs',29.0
35210016,Certification and supervision demands,is-a,barrier to access evidence-based programs,,,,,'employment programs',29.0
35210016,Limited possibilities to personalize programs,is-a,barrier to access evidence-based programs,,,,,'employment programs',29.0
35210016,Therapeutic processes,is-a,component of treatment protocols,,,,,'employment programs',21.0
35210016,Risk factors for children's conduct problems,is-a,target of therapeutic processes,,,,,'limited internet access',21.0
35210016,Parenting program components,is-a,type of standalone therapy,,,,,'polluted air',20.0
27974857,Infancy,is-a,period of life,,,,,'polluted air',12.0
27974857,Incredible Years Parents and Babies program,is-a,universal intervention,,,,,'social integration',12.0
27974857,Parenting confidence,is-a,primary outcome,,,,,park_access,11.0
27974857,Parent health,is-a,secondary outcome,,,,,park_access,14.0
27974857,Parent-child relationship,is-a,secondary outcome,,,,,park_access,14.0
27974857,Infant development,is-a,secondary outcome,,,,,park_access,14.0
27974857,Parent-child activities,is-a,secondary outcome,,,,,park_access,14.0
27974857,Network,is-a,secondary outcome,,,,,park_access,14.0
27974857,Parent stress,is-a,measure of parent health,,,,,'exposure to violence',17.0
27974857,Mental health,is-a,measure of parent health,,,,,'exposure to violence',17.0
9313481,Nurses,is-a,Healthcare Provider,,,,,'employment programs',15.0
9313481,Support and Comfort,is-a,Nursing Role,,,,,park_access,11.0
9313481,Understanding and Direction,is-a,Nursing Role,,,,,park_access,11.0
9313481,Expression of Intense Emotions,is-a,Grieving Process Aspect,,,,,'mass incarceration',18.0
9313481,Grieving Process Awareness,is-a,Nursing Skill,,,,,park_access,12.0
9313481,Risk Factor Awareness,is-a,Nursing Skill,,,,,park_access,12.0
9313481,Preventing Significant Morbidity and Mortality,is-a,Nursing Role,,,,,park_access,11.0
9313481,Bereaved Population,is-a,Vulnerable Population,,,,,'foster collaboration',15.0
9313481,Formal Counselling,is-a,Support Method,,,,,park_access,12.0
10855659,Poverty,is-a,Social Determinant of Health,,,,,'social integration',17.0
10855659,Education,is-a,Social Determinant of Health,,,,,'social integration',17.0
10855659,Employment,is-a,Social Determinant of Health,,,,,'social integration',17.0
10855659,Social Support,is-a,Social Determinant of Health,,,,,'social integration',17.0
10855659,Access to Health Care,is-a,Social Determinant of Health,,,,,'social integration',17.0
25333285,This study,is-a,comparison of the meaning of family support for diabetic patients and their families,,,,,'criminal activities in neighborhood',64.0
25333285,The study,is-a,research carried out in a Family Medicine Center of the Chalco Municipality in Mexico State,,,,,'carrier counseling opportunity',71.0
25333285,The population studied,is-a,group of ten diabetic patient-family pairs,,,,,'rate of hate crimes in society',30.0
25333285,The first part of the study,is-a,"simple word association test related to the concept of ""family support""",,,,,'racism and violence in society',54.0
25333285,The second part of the study,is-a,categorization and analysis of discourse,,,,,'racism and violence in society',28.0
25333285,The emotional domain,is-a,central theme in the discourse of diabetic patients,,,,,'racism and violence in society',37.0
25333285,The active domain,is-a,central theme in the discourse of the families,,,,,'limited internet access',34.0
25333285,This study,is-a,reflection about changing strategies in the design of public healthcare programs,,,,,'criminal activities in neighborhood',60.0
15622949,Traditional nuclear families,is-a,family structure,,,,,'polluted air',13.0
15622949,Single-parent families,is-a,family structure,,,,,'polluted air',13.0
15622949,Blended families,is-a,family structure,,,,,'polluted air',13.0
15622949,Educational outcomes,is-a,child development indicator,,,,,'employment programs',18.0
15622949,Family income,is-a,socio-economic factor,,,,,social_risk_factors,12.0
15622949,Family structure,is-a,socio-economic factor,,,,,social_risk_factors,12.0
15622949,Stepchildren,is-a,family member in blended families,,,,,'limited internet access',23.0
15622949,Half-siblings,is-a,family member in blended families,,,,,'limited internet access',23.0
15622949,Stylized facts,is-a,statistical data,,,,,'polluted air',14.0
15622949,Descriptive regressions,is-a,statistical method,,,,,'mass incarceration',14.0
18357745,Young carers,is-a,type of caregivers,,,,,'polluted air',14.0
18357745,Single-parent families,is-a,type of family structure,,,,,'polluted air',19.0
18357745,Chronic illnesses,is-a,type of health condition,,,,,community_composition,17.0
18357745,Young carers,is-a,type of family members,,,,,'polluted air',18.0
18357745,Adult family caregivers,is-a,type of caregivers,,,,,'polluted air',14.0
18357745,German health care system,is-a,type of health care system,,,,,park_access,20.0
18357745,Research project,is-a,type of academic study,,,,,park_access,17.0
18357745,English literature,is-a,type of academic resource,,,,,park_access,19.0
18357745,Caregiving tasks,is-a,type of responsibilities,,,,,'exposure to violence',17.0
18357745,Theoretical framework,is-a,type of academic tool,,,,,'polluted air',17.0
24878395,Inter-hospital transfer,is-a,healthcare process,,,,,park_access,12.0
24878395,Rural and remote families,is-a,demographic group,,,,,'polluted air',15.0
24878395,Tertiary ICU,is-a,healthcare facility,,,,,'polluted air',15.0
24878395,ICU staff,is-a,healthcare professionals,,,,,'employment programs',18.0
24878395,Hermeneutic phenomenological approach,is-a,research method,,,,,park_access,13.0
24878395,In-depth conversational interviews,is-a,data collection method,,,,,'polluted air',17.0
24878395,Being confused,being engaged,"being vulnerable and being resilient, are-as, experiences of healthcare process",,,,,'criminal activities in neighborhood',61.0
24878395,ICU nurses,is-a,healthcare professionals,,,,,'employment programs',18.0
20594204,Parental incarceration,is-a,Cumulative disadvantage,,,,,'community violence',18.0
20594204,Neighborhood worries,is-a,Cumulative disadvantage,,,,,'community violence',18.0
20594204,Provider concerns,is-a,Cumulative disadvantage,,,,,'community violence',18.0
20594204,Bureaucratic difficulties,is-a,Cumulative disadvantage,,,,,'community violence',18.0
20594204,Violent intimate relationships,is-a,Cumulative disadvantage,,,,,'community violence',18.0
20594204,Inability to meet children's needs,is-a,Cumulative disadvantage,,,,,'community violence',18.0
20594204,Harsh discipline,is-a,Parenting practice,,,,,park_access,13.0
20594204,Advocacy for children,is-a,Parenting practice,,,,,park_access,13.0
20594204,Substance use,is-a,Maternal distress,,,,,park_access,12.0
20594204,Maternal distress,is-a,Cumulative disadvantage,,,,,'community violence',18.0
20594204,Harsh discipline,is-a,Response to maternal distress,,,,,'access to working utilities',20.0
20594204,Advocacy for children,is-a,Response to maternal distress,,,,,'access to working utilities',20.0
11766011,Child maltreatment,is-a,type of family issue,,,,,park_access,16.0
11766011,Perceived competence,is-a,measure of resilience,,,,,'exposure to violence',12.0
11766011,Psychological distress,is-a,measure of resilience,,,,,'exposure to violence',12.0
11766011,Sense of family coherence,is-a,coping resource,,,,,'polluted air',13.0
11766011,Psychological sense of school membership,is-a,coping resource,,,,,'polluted air',13.0
11766011,Social support,is-a,coping resource,,,,,'polluted air',13.0
8211668,Traditional Two-Parent Family,is-a,Family Structure,,,,,'polluted air',13.0
8211668,Single Mother Home,is-a,Family Structure,,,,,'polluted air',13.0
8211668,Single Father Home,is-a,Family Structure,,,,,'polluted air',13.0
8211668,Parental Age,is-a,Parental Characteristic,,,,,park_access,15.0
8211668,Parental Educational Attainment,is-a,Parental Characteristic,,,,,park_access,15.0
8211668,Parental Labor Force Participation,is-a,Parental Characteristic,,,,,park_access,15.0
8211668,Existence of Siblings,is-a,Family Dynamic,,,,,'polluted air',12.0
8211668,White Children,is-a,Racial Group,,,,,park_access,11.0
8211668,Black Children,is-a,Racial Group,,,,,park_access,11.0
8211668,Hispanic Children,is-a,Racial Group,,,,,park_access,11.0
8211668,Educational Level,is-a,Socioeconomic Factor,,,,,social_risk_factors,11.0
8211668,Employment Rate,is-a,Socioeconomic Factor,,,,,social_risk_factors,11.0
34010046,Telehealth,is-a,method for healthcare delivery,,,,,'exposure to violence',23.0
34010046,Audio-only,is-a,method of telehealth,,,,,'polluted air',16.0
34010046,Video-consultation,is-a,method of telehealth,,,,,'polluted air',16.0
34010046,Tele-monitoring,is-a,method of telehealth,,,,,'polluted air',16.0
34010046,Cancer care,is-a,type of healthcare,,,,,'polluted air',15.0
34010046,Survivorship,is-a,phase of cancer trajectory,,,,,'mass incarceration',16.0
34010046,Rehabilitation,is-a,phase of cancer trajectory,,,,,'mass incarceration',16.0
34010046,Palliative care,is-a,phase of cancer trajectory,,,,,'mass incarceration',16.0
34010046,Billing,is-a,programmatic consideration for telehealth,,,,,'perceived discrimination from society',29.0
34010046,Scheduling,is-a,programmatic consideration for telehealth,,,,,'perceived discrimination from society',29.0
34010046,Reimbursement,is-a,programmatic consideration for telehealth,,,,,'perceived discrimination from society',29.0
34010046,Software,is-a,programmatic consideration for telehealth,,,,,'perceived discrimination from society',29.0
34010046,Hardware/platform security,is-a,programmatic consideration for telehealth,,,,,'perceived discrimination from society',29.0
36305198,Single-parent families led by fathers,is-a,Family structure,,,,,'polluted air',13.0
36305198,Poorer self-reported health,is-a,Health outcome,,,,,park_access,12.0
36305198,Mental health,is-a,Health outcome,,,,,park_access,12.0
36305198,Lifestyle practices and habits,is-a,Health behavior,,,,,'polluted air',12.0
36305198,Increased health complications,is-a,Health outcome,,,,,park_access,12.0
36305198,Psychological symptoms,is-a,Health outcome,,,,,park_access,12.0
36305198,Hospital admissions,is-a,Health service utilization,,,,,'access to working utilities',18.0
36305198,Higher mortality,is-a,Health outcome,,,,,park_access,12.0
36305198,Parent-teaching and support programs,is-a,Social support,0.6666666666666667,,'social integration',,'social opportunity',9.0
36305198,Judicial systems,is-a,Social institution,0.6666666666666667,,'social integration',,'social integration',7.0
36305198,Social and public assistance services,is-a,Social support,0.6666666666666667,,'social integration',,'social opportunity',9.0
34533667,COVID-19 pandemic,is-a,health crisis,,,,,park_access,9.0
34533667,Resilience,is-a,psychological trait,,,,,'polluted air',15.0
34533667,Depression,is-a,mental health condition,,,,,community_composition,17.0
34533667,Caregiver burden,is-a,stress indicator,,,,,'mass incarceration',12.0
34533667,Parent-child relationship quality,is-a,parenting outcome,,,,,park_access,13.0
30400757,GSSTP,is-a,programme,,,,,park_access,8.0
30400757,Parents,is-a,participants in GSSTP,,,,,park_access,15.0
30400757,Psychologists,is-a,facilitators of GSSTP,,,,,social_risk_factors,16.0
30400757,RCT,is-a,type of study,,,,,park_access,12.0
30400757,Thematic content analysis,is-a,method of data analysis,,,,,'exposure to violence',18.0
24958353,Family members,is-a,key factor in help-seeking process for first-episode psychosis,,,,,'rate of hate crimes in society',46.0
24958353,Understanding family members' experience,is-a,crucial factor in facilitating help-seeking process,,,,,'criminal activities in neighborhood',35.0
24958353,Qualitative research,is-a,valuable method for understanding lived experiences of family members,,,,,'rate of hate crimes in society',52.0
24958353,Systematic review,is-a,method used in the current research,,,,,'limited internet access',23.0
24958353,Meta-synthesis,is-a,method used to reveal themes in family members' experience,,,,,'rate of hate crimes in society',43.0
24958353,First-episode psychosis,is-a,condition for which help is sought,,,,,'proximity to hazardous sites',26.0
24958353,Clinical practice implications,is-a,result from the findings,,,,,'exposure to violence',18.0
24958353,Future research,is-a,need identified in the study,,,,,'limited internet access',22.0
12840691,Low-income mothers,is-a,Demographic Group,,,,,'polluted air',15.0
12840691,Infants under 12 months of age,is-a,Demographic Group,,,,,'polluted air',15.0
12840691,Early childhood intervention program,is-a,Health Intervention,,,,,'mass incarceration',11.0
12840691,NCAST Teaching Scale,is-a,Assessment Tool,,,,,'polluted air',13.0
12840691,Nurses,is-a,Health Professionals,,,,,park_access,16.0
12840691,High-risk,disadvantaged families,"is-a, Demographic Group",,,,,'social integration',17.0
12840691,Very young children,is-a,Demographic Group,,,,,'polluted air',15.0
12840691,Parent-child interaction,is-a,Social Determinant of Health,,,,,'social integration',17.0
12840691,Low-education adolescent comparison group,is-a,Demographic Group,,,,,'polluted air',15.0
12840691,High-education adult comparison group,is-a,Demographic Group,,,,,'polluted air',15.0
23763689,Parenting stress,is-a,psychological condition,,,,,community_composition,16.0
23763689,Depressive symptoms,is-a,psychological condition,,,,,community_composition,16.0
23763689,Actor effects,is-a,psychological phenomena,,,,,'social integration',17.0
23763689,Partner effects,is-a,psychological phenomena,,,,,'social integration',17.0
23763689,Parent-child communication,is-a,social interaction,0.6666666666666667,,'social integration',,'social integration',4.0
23763689,Actor-Partner Interdependence Model,is-a,psychological model,,,,,'polluted air',16.0
12853551,End-of-life care,is-a,type of medical care,,,,,'polluted air',15.0
12853551,ICU,is-a,type of medical facility,,,,,'polluted air',18.0
12853551,Family members,is-a,type of healthcare stakeholder,,,,,'rate of hate crimes in society',22.0
12853551,Questionnaire,is-a,type of research tool,,,,,'polluted air',17.0
12853551,Shared decision making,is-a,type of healthcare decision process,,,,,'rate of hate crimes in society',22.0
12853551,Satisfaction with care,is-a,type of healthcare outcome,,,,,'mass incarceration',20.0
4075043,Child maltreatment,is-a,Family issue,,,,,park_access,10.0
4075043,Multi-agency involvement,is-a,Social service,0.6666666666666667,,'social integration',,'social integration',10.0
4075043,Behavior disorders,is-a,Mental health disorder,,,,,'polluted air',17.0
4075043,High level of disturbance,is-a,Mental health issue,,,,,park_access,15.0
4075043,Family medical record linkage methods,is-a,Data collection method,,,,,'polluted air',17.0
4075043,Mental disorder,is-a,Health condition,,,,,community_composition,13.0
4075043,Personality disorder,is-a,Mental health disorder,,,,,'polluted air',17.0
4075043,Suicidal attempts,is-a,Mental health issue,,,,,park_access,15.0
4075043,Mental handicap,is-a,Disability,,,,,park_access,11.0
4075043,Drug dependence,is-a,Substance abuse,,,,,park_access,11.0
4075043,Alcohol dependence,is-a,Substance abuse,,,,,park_access,11.0
4075043,Epilepsy,is-a,Neurological disorder,,,,,'polluted air',16.0
4075043,Criminality,is-a,Social issue,0.6666666666666667,,'social integration',,park_access,10.0
2276634,Family size,is-a,Social determinant of health,,,,,'social integration',17.0
2276634,Mother-child relationship,is-a,Social determinant of health,,,,,'social integration',17.0
2276634,Adult children,is-a,Family member,,,,,park_access,11.0
2276634,Older mothers,is-a,Family member,,,,,park_access,11.0
2276634,Level of interaction,is-a,Measure of relationship quality,,,,,'rate of hate crimes in society',21.0
2276634,Amount of contact,is-a,Measure of relationship quality,,,,,'rate of hate crimes in society',21.0
2276634,Support received from children,is-a,Measure of parental wellbeing,,,,,'exposure to violence',21.0
33908029,Teenage mothers,is-a,vulnerable population,,,,,'foster collaboration',15.0
33908029,Emotional support,is-a,psychological resource,,,,,social_risk_factors,16.0
33908029,Partner supportiveness,is-a,social support,0.6666666666666667,,'social integration',,'social opportunity',9.0
33908029,Maternal harsh parenting,is-a,negative parenting behavior,,,,,'social integration',20.0
33908029,Child externalizing symptoms,is-a,child behavioral problem,,,,,'community violence',19.0
33908029,Child internalizing symptoms,is-a,child psychological problem,,,,,'employment programs',21.0
33908029,Fragile Families and Child Well-being Study,is-a,longitudinal study,,,,,'polluted air',15.0
30887906,Hospital social workers,provide,support,,,,,park_access,11.0
30887906,Hospital social workers,provide,intervention,,,,,'polluted air',12.0
30887906,Social workers,develop,unique interventions,,,,,'mass incarceration',12.0
30887906,Unique interventions,contribute to,multidisciplinary care,,,,,social_risk_factors,18.0
30887906,Social work students,need,preparation for end of life issues,,,,,'access to working utilities',24.0
30887906,Clinicians,need,preparation for end of life issues,,,,,'access to working utilities',24.0
12726793,Adolescent,is-a,Individual,,,,,park_access,11.0
12726793,Parent,is-a,Individual,,,,,park_access,11.0
12726793,Tobacco use,is-a,Substance use,,,,,park_access,9.0
12726793,Alcohol use,is-a,Substance use,,,,,park_access,9.0
12726793,Illicit drug use,is-a,Substance use,,,,,park_access,9.0
12726793,Family communication,is-a,Family factor,,,,,park_access,11.0
12726793,School grades,is-a,Academic performance,,,,,'community violence',16.0
12726793,Single parent,is-a,Family structure,,,,,'polluted air',13.0
12726793,Blended family,is-a,Family structure,,,,,'polluted air',13.0
32212741,Family systems theory,is-a,psychological theory,,,,,social_risk_factors,14.0
32212741,Marital hostility,is-a,interpersonal relationship factor,,,,,social_risk_factors,22.0
