PMID,Child Concept,Relationship,Parent Concept
6623119,Work stress,is-a,Social stress factor
36623213,Congress,is-a,Legislative body
36623213,Household Pulse Survey,is-a,"High-frequency, population-based survey"
36623213,Nonelderly adults,is-a,Population group
36623213,Public health emergency,is-a,Crisis situation
36623213,Medicaid,is-a,Public health coverage
36623213,Employer-sponsored coverage,is-a,Health insurance
36623213,Affordable Care Act Marketplace,is-a,Health insurance marketplace
36623213,Economic instability,is-a,Economic condition
36623213,Health coverage,is-a,Social determinant of health
36623213,Medicaid expansion states,is-a,Political entities
36623213,Policy makers,is-a,Occupational role
36623213,Employers,is-a,Occupational role
36623213,Health insurance,is-a,Social determinant of health
37789399,COVID-19 pandemic,is-a,global health challenge
37789399,Healthcare workers,are-a,profession under pressure due to COVID-19
37789399,Workplace violence,is-a,occupational hazard in healthcare
37789399,Economic crisis,is-a,strain on healthcare system
37789399,Verbal abuse,is-a,type of workplace violence
37789399,Physical assault,is-a,type of workplace violence
37789399,Thematic analysis,is-a,method for analyzing qualitative data
37789399,Focus Group Discussions,is-a,method for qualitative research
37789399,Arabic,is-a,language used for conducting interviews
37789399,Governmental Hospital,is-a,type of healthcare institution
37789399,Tripoli Governmental Hospital,is-a,hospital in North Lebanon
37789399,Inductive approach,is-a,qualitative research design
37789399,Nepotism and favoritism,are-a,cultural factors affecting healthcare
37789399,Patient's financial status,is-a,factor contributing to violence
36439076,Domestic Violence,is-a,Social Determinant of Health
36439076,Resistance Strategies,is-a,Coping Mechanism
36439076,PRISMA-ScR guidelines,is-a,Research Methodology
36439076,COVID-19 Pandemic,is-a,Health Crisis
36439076,Patriarchal Structure,is-a,Social Structure
36413476,Social determinants of health,is-a,conditions in the environment
36413476,Economic stability,is-a,social determinant of health
36413476,Education access and quality,is-a,social determinant of health
36413476,Healthcare access and quality,is-a,social determinant of health
36413476,Neighborhood and built environment,is-a,social determinant of health
36413476,Social and community context,is-a,social determinant of health
34035558,Economic instability,is-a,Social determinant of health
34035558,Economic insecurity,is-a,Social determinant of health
34035558,Social changes,is-a,Social determinant of health
34035558,New social policies,is-a,Social determinant of health
34035558,Multidimensional measures of economic insecurity,is-a,Indicator of economic instability
34035558,Dynamic approach to insecurity,is-a,Method for measuring economic instability
34035558,Headcount method,is-a,Method for measuring economic instability
34035558,Distribution of insecurity,is-a,Indicator of social changes
34903427,Economic instability,is-a,Economic adversity
34903427,Adverse childhood experiences,is-a,Risk factor for economic instability
34903427,Weaker academic orientation,is-a,Risk factor for economic instability
34903427,Exposure to substance using peers during adolescence,is-a,Risk factor for homelessness
34903427,Identifying as Hispanic,is-a,Risk factor for food insecurity
34903427,Lower maternal education,is-a,Risk factor for food insecurity
34903427,Greater neighborhood disorganization,is-a,Risk factor for food insecurity
34903427,Living with both biological parents,is-a,Protective factor for food insecurity
34903427,Better mental health,is-a,Protective factor for food insecurity
10890808,Problem drinkers,is-a,Alcohol users
10890808,Alcoholics,is-a,Alcohol users
10890808,Cognitive-behavioral treatment,is-a,Psychological intervention
10890808,Drinking-reduction techniques,is-a,Behavioral intervention
10890808,Drinking-reduction training,is-a,Behavioral intervention
10890808,Alcohol-related dysfunction,is-a,Health issue
10890808,Physical dependence on alcohol,is-a,Health issue
35711726,Economic insecurity,is-a,determinant of mental health
35711726,Negative economic shocks,is-a,determinant of mental health
35711726,Depression,is-a,mental health outcome
35711726,Anxiety,is-a,mental health outcome
35711726,PHQ-9,is-a,instrument for measuring mental health
35711726,GAD-7,is-a,instrument for measuring mental health
36091197,Afghanistan,is-a,Country
36091197,Spera,Giyan,"and Barmal, is-a, Districts in Afghanistan"
36091197,Earthquake,is-a,Natural Disaster
36091197,Physical injuries,food shortage,"shelter, is-a, Humanitarian Crisis"
36091197,Mental health,is-a,Health Aspect
36091197,WHO and HealthNet TPO,is-a,Health Organizations
36091197,Mental health professionals,is-a,Health Care Workers
36091197,Civil war,economic instability,"natural disasters, is-a, Causes of Mental Disorders"
36091197,HCWs,is-a,Healthcare Workers
36091197,Mental health,is-a,Neglected Aspect in Disaster Response
36091197,Mental Disorders,is-a,Consequence of Afghanistan Crisis
34409878,Great Recession,is-a,Economic Instability
34409878,Life Course Perspective,is-a,Study Methodology
34409878,Family caregivers,is-a,Individual Role
34409878,Filial Caregivers,is-a,Family Caregivers
34409878,Sandwiched Caregivers,is-a,Family Caregivers
34409878,Financial Challenges,is-a,Economic Difficulty
34409878,Well-being,is-a,Health Indicator
34409878,Environmental Mastery,is-a,Psychological Well-being
34409878,Positive Relations with others,is-a,Social Well-being
34409878,Social Actualization,is-a,Social Well-being
34409878,Demographics,is-a,Study Data
32865185,National Health Systems,is-a,Healthcare Provider
32865185,COVID-19,is-a,Health Emergency
32865185,Healthcare-associated infections,is-a,Risk Factor
14761256,Economic Globalization,is-a,Important Process
14761256,Cultural Globalization,is-a,Important Process
14761256,Wealthy Society,is-a,Potential Result of Globalization
14761256,Quantitative Analysis,is-a,Method For Studying Globalization
14761256,Microscopic Representation,is-a,Method for Studying Globalization
14761256,Unfair wealth distribution,is-a,Consequence of Globalization
14761256,System Collapse,is-a,Potential Danger of Globalization
30231695,Ecuador,is-a,Country with clinical research development
30231695,National Agency for Health Regulation,Control,"and Surveillance, is-a, Health Regulation Institution"
30231695,Good Clinical Practice,is-a,Standard for clinical research
30231695,Clinical Trial design,is-a,Part of clinical research
30231695,Population welfare indicators,is-a,Aspect of health system improvement
30231695,Economic stability,is-a,Factor for health system improvement
30231695,Institutional infrastructure,is-a,Support for research project implementation
32835216,Health insurance coverage,is-a,determinant of health
32835216,SES disparities,is-a,determinant of health
32835216,Economic instability,is-a,determinant of health
32835216,Job-loss,is-a,determinant of health
32835216,Spouse's coverage,is-a,safety-net
32835216,Insurance transitions,is-a,effect of economic recession
32835216,SES disparity in private coverage,is-a,effect of high job-loss
32835216,Wives' insurance plans,is-a,mitigating factor in declines in higher SES men's coverages
29933197,Unemployment,is-a,economic instability
29933197,Non-attendance at school or other education,is-a,loss of quality adjusted life years
29933197,Residential positive youth development program,is-a,Intervention program
29933197,Six-month job internship,is-a,part of Residential positive youth development program
29933197,Workplace skills and career self-efficacy,is-a,positive youth behavior
29933197,Drug and alcohol abuse,is-a,maladaptive behavior
29933197,Unattached Jamaican adolescents,is-a,demographic group
34388403,Anthocyanins,are-a-type-of,pigments
34388403,Anthocyanins,are-found-in,fruits
34388403,Anthocyanins,are-found-in,vegetables
34388403,Anthocyanins,are-used-in,food processing
34388403,Copigmentation,is-a-type-of,modification for anthocyanin stability
34388403,Acylation,is-a-type-of,modification for anthocyanin stability
34388403,Biosynthesis,is-a-type-of,modification for anthocyanin stability
34388403,Microencapsulation,is-a-method-of,anthocyanin encapsulation
34388403,Liposome,is-a-method-of,anthocyanin encapsulation
34388403,Nanoparticles,is-a-method-of,anthocyanin encapsulation
34388403,Pyranoanthocyanins,are-related-to,anthocyanin diversification
35975730,Need for social connection,is-a,fundamental need
35975730,Life history theory,is-a,Approach to understand social strategies
35975730,Childhood socioeconomic status (SES),is-a,Indicator of early-life experiences
35975730,Perception of economic instability,is-a,Factor interacting with SES
35975730,Narrow and deep social network,is-a,Preferred social relationship pattern for lower-SES
35975730,Broad and shallow social network,is-a,Preferred social relationship pattern for higher-SES
37362401,Gold,is-a,Diversification tool
37362401,Gold,is-a,Haven asset
37362401,Gold,is-a,Secure investment
37362401,Gold,is-a,Asset preservation tool
37362401,Gold,is-a,Hedge against oil price volatility
37362401,Gold,is-a,Hedge against economic instability
37362401,VAR Model,is-a,Tool for analyzing market interdependencies
37362401,Oil price volatility,is-a,Economic instability factor
37362401,COVID-19 pandemic,is-a,Exceptional market circumstance
37362401,Oil price volatility,is-a,Market circumstance
34504382,Economic pressure,is-a,Contextual factor
34504382,Marital instability,is-a,Marital outcome
34504382,Mental health problems,is-a,Health outcome
34504382,Physical health problems,is-a,Health outcome
34504382,Psychological distress,is-a,Health outcome
34504382,Physical health in later adulthood,is-a,Long term health outcome
34504382,Family financial difficulties,is-a,Economic pressure
34504382,Marital stress,is-a,Marital instability
34504382,Anxiety symptoms,is-a,Psychological distress
34504382,Long-lasting detrimental impacts,is-a,Effect of early middle years stress
34504382,Actor-partner interdependence model,is-a,Analytical model
34504382,Latent growth curve approach,is-a,Statistical method
34504382,Prospective data,is-a,Research data type
37304747,Financial education and coaching program,is-a,Intervention
37304747,Financial Success Program,is-a,Financial education and coaching program
37304747,Single mothers of low-income,is-a,Study participants
37304747,Financial strain,is-a,Economic instability indicator
37304747,Smoking cessation,is-a,Health behavior change
37304747,Avoidance of medical care due to cost,is-a,Health behavior
37304747,Financial Success Program,is-a,Model for promoting economic stability
36170116,Overweight/obesity status,is-a,health outcome
36170116,Severe obesity status,is-a,Overweight/obesity status
36170116,American Indian and Alaska Native children,is-a,demographic group
36170116,Poverty,is-a,social determinant of health
36170116,Economic instability,is-a,social determinant of health
36170116,Normal-weight status,is-a,health outcome
36170116,Free or reduced-priced lunch eligibility,is-a,indicator of economic instability
35462969,Pharmaceutical markets,is-a,market
35462969,Clinical trials,is-a,research method
35462969,Pre-enrollment phase,is-a,phase of clinical trial
35462969,Cross-cultural research,is-a,type of research
35462969,Ethical parameters,is-a,set of guidelines
35462969,Cultural suitability,is-a,criterion for research
35462969,Social value,is-a,outcome of research
35462969,Research population,is-a,target population for research
37645502,Artists,is-a,profession at risk
37645502,Support networks,is-a,self-care strategy
37645502,Programs and Institutions,is-a,support system for artists
37645502,Sustainability and risk (self-) assessment,is-a,consideration for artists
37645502,Interviews with Turkish and Kurdish artists in Germany,is-a,primary data source
37645502,Maxim Gorki Theater,Apartment Projekt,"bi'bak, Hafiza Merkezi Berlin, is-a, supportive institutions for artists"
37645502,Artistic research fellowships,art residencies,"artist networks and supportive theatres, is-a, support systems for artists"
37645502,Difficulties in integrating into the artistic labour market,is-a,challenge for immigrant artists
37645502,Output-oriented,meritocratic basis,"is-a, selection criteria for support programs"
37645502,Intergenerational disparity,is-a,challenge in migrant communities
37645502,Self-organized programs,is-a,extension of solidarity to artists
35796039,Fear-induced generalization,is-a,human behavioral tendency
35796039,Striped hyena,is-a,nonobligate carnivore
35796039,Human-carnivore conflict zone,is-a,high threat environment
35796039,Economic instability,is-a,factor negatively affecting tolerance
35796039,Perceptual uncertainty,is-a,factor negatively affecting tolerance
35796039,Animal husbandry,is-a,major source of income
35796039,Loss due to predation and disease,is-a,severe impact on income source
36334216,geographic mobility,is-a,indicator of economic stability
36334216,young adults,is-a,age group with geographic mobility
36334216,neighborhood characteristics,is-a,factor in geographic mobility
36334216,individual characteristics,is-a,factor in geographic mobility
36334216,sexual minority identification,is-a,individual characteristic related to mobility
36334216,younger age,is-a,individual characteristic related to mobility
36334216,being single,is-a,individual characteristic related to mobility
36334216,non-Hispanic ethnicity,is-a,individual characteristic related to mobility
36334216,higher neighborhood poverty,is-a,neighborhood characteristic related to mobility
36334216,economic instability,is-a,potential outcome of geographic mobility during pandemic
11309631,AIDS,is-a,Disease
11309631,Human immunodeficiency virus,is-a,Virus
11309631,Antiviral drugs,is-a,Medication
11309631,Vaccines,is-a,Preventive measure
11309631,Developing world,is-a,Geographical area
30479599,Economic instability,is-a,driving factor for migration
30479599,Armed conflagration,is-a,driving factor for migration
30479599,Religious conflict,is-a,driving factor for migration
30479599,Ethnic conflict,is-a,driving factor for migration
30479599,Parasitic disease,is-a,health risk for Mediterranean countries
30479599,Viral disease,is-a,health risk for Mediterranean countries
30479599,Bacterial disease,is-a,health risk for Mediterranean countries
30479599,Fungal disease,is-a,health risk for Mediterranean countries
30479599,Parasitic infections,is-a,main focus for labs in Mediterranean countries
30479599,Migratory related infections study group,is-a,proposed solution for managing health risks in Mediterranean countries
30479599,Health education programs,is-a,proposed solution for managing health risks in Mediterranean countries
30479599,Training and workshop programs,is-a,proposed solution for managing health risks in Mediterranean countries
38057150,Racial and ethnic disparities,is-a,background
38057150,Context for racial and ethnic disparities,is-a,understanding
38057150,Social determinants of health,is-a,influencing factor in thyroid disease
38057150,Socioeconomic status and economic stability,is-a,patient and system level factor
38057150,Language,is-a,patient and system level factor
38057150,Education,is-a,patient and system level factor
38057150,Health literacy,is-a,patient and system level factor
38057150,Healthcare systems and health policy,is-a,patient and system level factor
38057150,Targeted and multi-level interventions,is-a,need for addressing disparities
38057150,Societal perspective,is-a,consideration for addressing disparities
38057150,Healthcare perspective,is-a,consideration for addressing disparities
38057150,Clinician perspective,is-a,consideration for addressing disparities
38057150,Patient perspective,is-a,consideration for addressing disparities
37312527,Food Insecurity,is-a,Health Issue
37312527,Environmental Instability,is-a,Determinant of Food Insecurity
37312527,Economic Instability,is-a,Determinant of Food Insecurity
37312527,Sociodemographic factors,is-a,Determinant of Food Insecurity
37312527,Cross-sectional survey,is-a,Research Method
37312527,Household Food Insecurity Access Scale (HFIAS),is-a,Tool for Assessing Food Insecurity
37312527,Reduced Coping Strategies Index (rCSI),is-a,Tool for Assessing Coping Strategies
37312527,Poisson regression,is-a,Statistical Method
37312527,Age,is-a,Sociodemographic factor
37312527,Education,is-a,Sociodemographic factor
37312527,Occupation,is-a,Sociodemographic factor
37312527,Parity,is-a,Sociodemographic factor
37312527,Households in peri-urban communities,is-a,Research Population
32506403,Inflation instability,is-a,economic parameter
32506403,GDP growth volatility,is-a,economic parameter
32506403,Environmental quality,is-a,outcome of economic parameters
32506403,Carbon dioxide emissions,is-a,indicator of environmental quality
32506403,Nitrous oxide emissions,is-a,indicator of environmental quality
32506403,Methane emissions,is-a,indicator of environmental quality
32506403,Positive shocks,is-a,type of inflation instability
32506403,Negative shocks,is-a,type of inflation instability
32506403,Positive fluctuations,is-a,type of GDP growth volatility
32506403,Negative fluctuations,is-a,type of GDP growth volatility
32506403,Asymmetric autoregressive distributed lag,is-a,methodological approach
32506403,Economic stability,is-a,target for policymakers
32506403,Pollution reduction,is-a,target for policymakers
37401965,Cranioencephalic trauma,is-a,cerebral dysfunction
37401965,Children under 5 years of age,is-a,vulnerable group for Cranioencephalic trauma
37401965,Neurosurgery department of Fann Hospital in Dakar,is-a,healthcare provider
37401965,Severe cranioencephalic trauma,is-a,result of misuse of NICT and socio-economic stability
37401965,Motor disorders,is-a,neurological after-effect of Cranioencephalic trauma
37401965,Neurological after-effects,is-a,potential outcome of Cranioencephalic trauma in children
37401965,Parental responsibility,is-a,socio-economic factor for Cranioencephalic trauma
37401965,Technological revolution,is-a,factor influencing the occurrence of severe cranioencephalic trauma
37401965,Lack of supervision of children,is-a,risk factor for cranioencephalic trauma
34185609,Legionnaires' disease,is a,health disparity
34185609,Pneumonia,is a,health disparity
34185609,Economic Stability,is a,Social Determinant of Health
34185609,Education Access and Quality,is a,Social Determinant of Health
34185609,Social and Community Context,is a,Social Determinant of Health
34185609,Health Care Access and Quality,is a,Social Determinant of Health
34185609,Neighborhood and Built Environment,is a,Social Determinant of Health
34185609,Disparities in Legionnaires' disease incidence,is a,consequence of Social Determinants of Health
34185609,Disparities in pneumonia incidence,is a,consequence of Social Determinants of Health
23698667,CBPR partnerships,is-a,approach for health interventions
23698667,HealthLink,is-a,CBPR partnership
23698667,Cancer disparities,is-a,health issue
23698667,Queens,N.Y.,"is-a, underserved community"
23698667,Economic instability,is-a,potential obstacle for CBPR partnerships
23698667,Adaptation,is-a,response to unanticipated obstacles
36189082,Debt stress,is-a,type of economic stress
36189082,Economic instability,is-a,type of economic condition
36189082,Great Recession,is-a,type of economic event
36189082,Recovery period,is-a,phase of economic cycle
36189082,Job performance,is-a,factor of personal economics
36189082,Family life,is-a,social-economic factor
36189082,Health,is-a,affected by socio-economic conditions
36189082,Pandemic-induced recession,is-a,type of economic crisis
34242317,Transgender and nonbinary people,is-a,disproportionately affected group by structural barriers to quality healthcare
34242317,Transgender and nonbinary people,is-a,disproportionately affected group by mental health challenges
34242317,Transgender and nonbinary people,is-a,disproportionately affected group by economic hardship
34242317,COVID-19 crisis,is-a,"cause of change in gender-affirming care, mental health, and economic stability among transgender and nonbinary people"
34242317,Access to gender-affirming care and ability to live according to one's gender,is-a,"related factor to depressive symptoms, anxiety, and changes in suicidal ideation"
34242317,COVID-19 crisis,is-a,cause of reduced access to gender-affirming resources
34242317,COVID-19 crisis,is-a,cause of reduced ability for transgender and nonbinary people to live according to their gender
34242317,Reduced access to gender-affirming resources,is-a,"cause of increased depressive symptoms, anxiety, and suicidal ideation"
30476088,Migration status,is-a,Social determinant of health
30476088,Socioeconomic factors,is-a,Social determinant of health
30476088,Childhood experiences,is-a,Social determinant of health
30476088,Financial strain,is-a,Economic factor
30476088,Domestic conflict,is-a,Social factor
30476088,Social trust,is-a,Social factor
30476088,Living with children,is-a,Social factor
30476088,Perceived discrimination,is-a,Social factor
30476088,Gender,is-a,Biological factor
29710451,Women's work,is-a,type of work
29710451,Retirement,is-a,work related issue
29710451,Social research,is-a,research method
29710451,Quantitative work,is-a,research method
29710451,Case study approach,is-a,research method
29710451,Family health problems,is-a,determinant of retirement
29710451,Retirement planning,is-a,determinant of retirement
29710451,Spouse's retirement,is-a,determinant of retirement
34447518,Anxiety disorder,is-a,mental health problem
34447518,Anxiety disorder,is-a,cause of disability
34447518,Generalized anxiety disorder-7 questionnaire,is-a,screening tool for anxiety disorders
34447518,Homemakers,is-a,population group
34447518,Economic instability,is-a,determinant of mental health
34447518,Non-cordial relations with family members,is-a,factor causing anxiety disorders
34447518,Health of children,is-a,factor causing anxiety in parents
36816443,Bangladesh,is-a,deltaic country
36816443,flooding,is-a,natural calamity
36816443,cyclones,is-a,natural calamity
36816443,droughts,is-a,natural calamity
36816443,riverbank erosion,is-a,natural calamity
36816443,loss of land,is-a,consequence of riverbank erosion
36816443,human displacement,is-a,consequence of riverbank erosion
36816443,social isolation,is-a,consequence of riverbank erosion
36816443,physical and mental well-being problems,are-a,consequence of riverbank erosion
36816443,IDPs,is-a,consequence of riverbank erosion
36816443,livelihood uncertainty,is-a,result of riverbank erosion
36816443,health concerns,are-a,result of riverbank erosion
36816443,socio-economic instability,is-a,result of livelihood uncertainty
36816443,poverty,is-a,result of socio-economic instability
36816443,diseases,are-a,result of poverty
36816443,medical expenses,are-a,result of diseases
33046936,Laboratories,is-a,stakeholder in disaster management
33046936,Multisectoral coordination,is-a,necessity in disaster management
33046936,Animal health,is-a,factor in disaster management
33046936,Preservation of livelihoods,is-a,goal of disaster management
33046936,Food security,is-a,outcome of effective disaster management
33046936,Social cohesion,is-a,result of effective disaster management
33046936,Economic stability,is-a,result of effective disaster management
33046936,Biological threats,is-a,type of animal-health-related disasters
33046936,Disaster management,is-a,"process includes mitigation, planning, response and recovery"
35157390,Disability status,is-a,social economic factor
35157390,Inequity,is-a,social disintegration factor
35157390,Stigmatization,is-a,social disintegration factor
35157390,Perception of disability,is-a,societal construction
35157390,Negative attitude to disability,is-a,cause of social isolation
35157390,Social integration,is-a,result of positive attitude towards people with disabilities
37971587,Climate conditions,is-a,determinant of economic stability
37971587,Climate-related policy ambiguity,is-a,factor in currency valuation
37971587,Climate policy,is-a,driver of economic policy uncertainty
37971587,Climate policy,is-a,driver of geopolitical risk
37971587,Climate policy uncertainty,is-a,driver of exchange rate movements
37971587,National frameworks for climate risk management,is-a,recommendation for addressing economic and climate policy uncertainties
37971587,Policy credibility,is-a,factor for macroeconomic stability
37971587,Regional integration,is-a,solution to mitigate influence of geopolitical risk on exchange rates
30142180,Single mothers,is-a,demographic group
30142180,Depression,is-a,mental health condition
30142180,Global Assessment of Recent Stress,is-a,self-rating scale
30142180,Center for Epidemiologic Studies-Depression scale,is-a,self-rating scale
30142180,Korean version of the Alcohol Use Disorder Identification Test,is-a,self-rating scale
30142180,Multiple logistic regression analysis,is-a,statistical method
30142180,Low income,is-a,socioeconomic factor
30142180,Residential instability,is-a,socioeconomic factor
30142180,High stress,is-a,psychological factor
30142180,High alcohol-related problems,is-a,health risk factor
30142180,Rental housing,is-a,type of accommodation
30142180,Stress,is-a,psychological factor
30142180,Economic stability,is-a,socioeconomic condition
30142180,Parenting support,is-a,social support
26106880,Ukrainian health system,is-a,Health system
26106880,Health care provision,is-a,Health service
26106880,Health reforms,is-a,Policy change
26106880,Health financing,is-a,Economic system
26106880,Health system performance,is-a,Measurement indicator
26106880,Primary and emergency care,is-a,Health care service
26106880,Hospital rationalization,is-a,Health infrastructure development
26106880,Health care financing reform,is-a,Financial system change
26106880,Semashko model,is-a,Health care system model
26106880,Political instability,is-a,Political factor
26106880,Economic stability,is-a,Economic factor
26106880,Humanitarian concerns,is-a,Social issues
36041159,Opioid Use Disorder,is a,Health Condition
36041159,Employment,is a,Social Determinant of Health
36041159,Suicide Risk,is a,Health Condition
36041159,Hopelessness,is a,Mental Health Issue
36041159,Economic Instability,is a,Social Determinant of Health
36041159,Homelessness,is a,Social Determinant of Health
36041159,Race,is a,Demographic Factor
36041159,Age,is a,Demographic Factor
36041159,Gender,is a,Demographic Factor
36041159,Socioeconomic Status,is a,Demographic Factor
36041159,Psychiatric Mental Health Nurses,is a,Health Care Profession
36041159,Addiction Nurses,is a,Health Care Profession
36041159,Employment Support Services,is a,Social Service
36041159,Psychiatric and Behavioral Health Services,is a,Health Care Service
36041159,Mental Health Services,is a,Health Care Service
33173876,Transgender people,is-a,At-risk population
33173876,Non-binary people,is-a,At-risk population
33173876,COVID-19 pandemic,is-a,Global health crisis
33173876,Depressive symptoms,is-a,Mental health challenge
33173876,Anxiety,is-a,Mental health challenge
33173876,Suicidal ideation,is-a,Mental health challenge
33173876,Economic stability,is-a,Social determinant of health
33173876,Gender-affirming care,is-a,Health care service
33173876,Health insurance,is-a,Economic resource
33173876,Mental health,is-a,Health determinant
33173876,Gender-affirming resources,is-a,Health care resource
33173876,Cross-sectional data,is-a,Research method
33173876,Poisson regression model,is-a,Statistical model
37232615,COVID-19 pandemic,is-a,Global health event
37232615,Low interest rate policy,is-a,Economic policy
37232615,Investment activities,is-a,Economic Activity
37232615,Real estate prices,is-a,Economic Indicator
37232615,Stock prices,is-a,Economic Indicator
37232615,Economic instability,is-a,Socioeconomic factor
37232615,Investment behavior,is-a,Financial behavior
37232615,Economic loss,is-a,Financial circumstance
37232615,Stock addiction,is-a,Behavioral addiction
37232615,Distress tolerance,is-a,Psychological Competency
37232615,Life satisfaction expectancy,is-a,Personal wellbeing measure
37232615,Sensation seeking,is-a,Psychological trait
27027991,Family stability,is-a,social determinant of child development
27027991,Labor migration,is-a,factor in family instability
27027991,Child fostering,is-a,factor in family instability
27027991,Non-marital fertility,is-a,factor in family instability
27027991,HIV pandemic,is-a,factor in family instability
27027991,Racial group,is-a,factor in family instability
27027991,Parent-child coresidence,is-a,factor in social and educational development
27027991,Sexual initiation timing,is-a,result of changes in parent-child coresidence
27027991,Educational outcome,is-a,result of changes in parent-child coresidence
27027991,Cultural conditions,is-a,factor influencing consequences of coresidential instability
27027991,Social conditions,is-a,factor influencing consequences of coresidential instability
27027991,Economic conditions,is-a,factor influencing consequences of coresidential instability
34837622,Pakistan,is-a,country
34837622,Political instability,is-a,determinant of energy consumption
34837622,Political instability,is-a,determinant of CO2 emissions
34837622,ARDL model,is-a,statistical model
34837622,Nonlinear ARDL,is-a,statistical model
34837622,Clean energy,is-a,energy source
34837622,Green economic growth,is-a,type of economic development
34837622,Macroeconomic policies,is-a,type of government policy
34837622,Environmental quality,is-a,aspect of sustainability
34837622,Clean energy consumption,is-a,aspect of environmental policy
34837622,CO2 emissions,is-a,environmental impact factor
36976691,Cervical cancer,is-a,disease
36976691,Cervical cancer screening,is-a,health procedure
36976691,Public health institutions,is-a,health service provider
36976691,Female nurses,is-a,health professionals
36976691,Vhembe district,is-a,geographical location
36976691,Limpopo Province,is-a,geographical location
36976691,Department of Health,is-a,health organization
36976691,Structured self-reported questionnaire,is-a,data collection tool
36976691,SPSS version 26,is-a,statistical analysis software
36976691,Descriptive statistics,is-a,data analysis method
36976691,Quantitative,descriptive,"cross-sectional design, is-a, research design"
36976691,Negative attitudes,is-a,psychological factor
36976691,Poor perception,is-a,psychological factor
36976691,Embarrassment,is-a,emotional response
37008456,"""Rural Healthy People""",isA,"""Health initiative"""
37008456,"""Healthy People 2030""",isA,"""Health initiative"""
37008456,"""Rural Healthy People 2030""",isA,"""Study"""
37008456,"""Mental Health and Mental Disorders""",isA,"""Healthy People priority"""
37008456,"""Addiction""",isA,"""Healthy People priority"""
37008456,"""Health Care Access and Quality""",isA,"""Healthy People priority"""
37008456,"""Economic Stability""",isA,"""Social Determinant of Health"""
37008456,"""Health Care Access and Quality""",isA,"""Rural health priority"""
37008456,"""Mental Health and Mental Disorders""",isA,"""Rural health priority"""
37008456,"""Addiction""",isA,"""Rural health priority"""
32877307,Gendered patterns of disadvantage,is-a,historical issue for women
32877307,Economic disadvantages,is-a,threat to women's health in emergencies
32877307,Harmful social norms,is-a,threat to women's health in emergencies
32877307,Restricted healthcare access,is-a,threat to women's health in emergencies
32877307,Gendered inequalities,is-a,financial and economic stability issue
32877307,Violence against women,is-a,increased vulnerability in emergencies
32877307,Gendered expectations of social roles,is-a,cause of increased vulnerabilities
32877307,Displacement and poverty,is-a,result of gendered social roles
32877307,Trauma-informed care,is-a,solution for emergencies
32877307,Increased women leadership roles,is-a,solution for emergencies
32877307,Educational initiatives,is-a,solution for emergencies
32877307,Advocacy from health professionals,is-a,solution for emergencies
36054669,Discretionary income,is-a,economic factor
36054669,Self-reported health status,is-a,health outcome
36054669,Social Determinants of Health,is-a,study module
36054669,Behavioral Risk Factor Surveillance System,is-a,data source
36054669,Multivariable logistic regression models,is-a,statistical method
36054669,Sociodemographic factors,is-a,social determinants of health
36054669,Chronic Conditions,is-a,health condition
36054669,Average marginal effects,is-a,statistical measure
36054669,Overall well-being,is-a,health outcome
36106130,US South,is-a,geographic region
36106130,Prisons,is-a,Institution
36106130,COVID-19,is-a,Epidemic
36106130,Incarcerated individuals,is-a,High risk group
36106130,Prison staff,is-a,High risk group
36106130,Prison Project,is-a,Data source
36106130,DCI score,is-a,Economic indicator
36106130,Economic distress,is-a,Social determinant of health
36106130,Negative binomial regression,is-a,Statistical method
36106130,Race/ethnicity,is-a,Demographic factor
36106130,Age,is-a,Demographic factor
36106130,Rurality level,is-a,Geographic factor
36106130,Economic stability,is-a,Social determinant of health
36106130,Prison-based disease prevention interventions,is-a,Health policy
36945676,racial disparity,is-a,social determinants of health
36945676,economic instability,is-a,social determinants of health
36945676,lack of transportation,is-a,social determinants of health
36945676,intimate partner violence,is-a,social determinants of health
36945676,limited social supports,is-a,social determinants of health
36945676,undergraduate medical education,is-a,education sector activity
36945676,medical students' knowledge,is-a,education outcome
36945676,case-based debrief experience,is-a,active learning strategy
36945676,family medicine clinical setting,is-a,healthcare environment
36945676,underserved community,is-a,type of community
36945676,health literacy,is-a,patient skill
36945676,culturally sensitive providers,is-a,type of healthcare providers
36227139,"""Austerity measures""",is-a,"""strategy to cope with financial straits"""
36227139,"""Financial recovery program""",is-a,"""method to achieve economic stability"""
36227139,"""Piani di Rientro""",is-a,"""financial recovery program"""
36227139,"""Healthcare indicators""",is-a,"""measure of healthcare resources"""
36227139,"""Tax increase""",is-a,"""method to achieve fiscal balance"""
36227139,"""Regional healthcare systems""",is-a,"""provider of healthcare services"""
33013504,The novel coronavirus,is a,health crisis
33013504,COVID-19,is a,pandemic
33013504,S&P 500 index,is a,financial market
33013504,Nasdaq Composite index,is a,financial market
33013504,IBEX 35,is a,financial market
33013504,Italy's stock markets,are a,financial market
33013504,FTSE MIB,is a,financial market
33013504,UK stock markets,are a,financial market
33013504,London Stock Exchange,is a,financial market
33013504,Health management systems,are a,health sector
33013504,Lockdown conditions,are a,response to health crisis
33013504,Economic instability,is an,economic crisis
33013504,Sustainable development,is a,long-term goal
36849680,Poverty,is-a,curse for sustainable and equitable development
36849680,Poverty,is-a,determinant of environmental sustainability
