PMID,Child Concept,Relationship,Parent Concept,Most Similar Term (BERT),Cosine Similarity (BERT)
32947076,Economic hardship,is-a,Intermediate outcome,,
32947076,Monetary benefits,is-a,TANF policy,social policy,0.7312711477279663
32947076,TANF-to-Poverty Ratio,is-a,TANF policy,social policy,0.7312711477279663
32947076,Sanctions,is-a,TANF policy,social policy,0.7312711477279663
32947076,Employment,is-a,Intermediate outcome,,
32947076,Economic instability,is-a,Mediator,service professionals,0.7907185554504395
32947076,Perceived stress,is-a,Mediator,service professionals,0.7907185554504395
32947076,Bargaining power,is-a,Mediator,service professionals,0.7907185554504395
32947076,Coercive IPV,is-a,Mediator,service professionals,0.7907185554504395
28584930,Scientific productivity,is-a,indicator of national development,,
28584930,Access to grant opportunities,is-a,factor in scientific productivity,factor influencing health,0.7835219502449036
28584930,Laboratory infrastructure,is-a,factor in scientific productivity,factor influencing health,0.7835219502449036
28584930,Personal insecurity of scientists,is-a,factor in scientific productivity,factor influencing health,0.7835219502449036
28584930,Political and economic instability,is-a,factor in scientific productivity,factor influencing health,0.7835219502449036
28584930,Biomedicine,is-a,field of scientific research,,
28584930,Intellectual and economic future,is-a,consequence of improved status of science,,
28584930,Scientific research,is-a,potential source of technological developments,,
30865765,Non-accidental fractures,is-a,Indicator of violence within a population,history of domestic violence,0.7634700536727905
30865765,Bioarchaeological evidence from mass graves,is-a,Evidence for warfare,,
30865765,Temporal variation in fracture distribution pattern,is-a,Method to analyse violence,history of domestic violence,0.7153290510177612
30865765,Battle-related injuries,is-a,Evidence for warfare,,
31662717,Economic stability,is-a,social determinant of health,factor influencing health,0.7891273498535156
31662717,Financial stress,is-a,driver for health disparities,factor influencing health,0.7174404859542847
31662717,Smoking,is-a,behaviour related to financial stress,psychosocial factors,0.7791321277618408
31662717,Alcohol consumption,is-a,behaviour related to financial stress,psychosocial factors,0.7791321277618408
31662717,Overspending,is-a,behaviour related to financial stress,psychosocial factors,0.7791321277618408
31662717,Poor diet,is-a,behaviour related to financial stress,psychosocial factors,0.7791321277618408
31662717,Reduced exercise,is-a,behaviour related to financial stress,psychosocial factors,0.7791321277618408
31662717,Financial education,is-a,strategy to reduce financial stress,'inadequate budget for healthy meals',0.7234618663787842
31662717,Coaching,is-a,strategy to reduce financial stress,'inadequate budget for healthy meals',0.7234618663787842
31662717,Healthy lifestyle behaviors,is-a,potential improvement from financial education,mental health problem,0.7147647738456726
31662717,Quality of life,is-a,potential improvement from financial education,mental health problem,0.7147647738456726
31662717,Objective health outcomes,is-a,potential improvement from financial education,mental health problem,0.7147647738456726
2666318,psychosocial well-being,is-a,aspect of national population level,,
2666318,conventional economic well-being,is-a,aspect of national population level,,
2666318,New Value,is-a,definition of production output value,amount of workload,0.7209374904632568
2666318,psychosocial class structure model,is-a,representation of occupational subgroups,,
2666318,psychosocial job dimensions,is-a,measure in empirical analysis,,
2666318,"New Value ""impoverished"" groups",is-a,"groups with routinized, bureaucratized, and commercialized jobs",,
2666318,psychosocial class structure model,is-a,predictor for economic stability and political participation,factor influencing health,0.7077770233154297
2666318,conventional and New Value-based policies,is-a,source of potential conflict,mental health issue,0.7135828137397766
38144041,Health services purchasing agencies,is-a,Institutional development,service professionals,0.8172541856765747
38144041,Health sector,is-a,Public sector,,
38144041,Strategic purchasing,is-a,Function of health services purchasing agencies,,
38144041,Health purchasing agencies,is-a,Health institutions,service professionals,0.8329360485076904
38144041,Civil society engagement,is-a,Governance practice,social policy,0.8290588855743408
38144041,Accountability frameworks,is-a,Governance practice,social policy,0.8290588855743408
38144041,Digitalization,is-a,Governance practice,social policy,0.8290588855743408
38144041,Higher degrees of purchaser autonomy,is-a,Recommended governance practice,'role clarity at work place',0.7031180262565613
38144041,Health budgets,is-a,Economic factor in health sector,,
32886732,Resource-based livelihood,is-a,livelihood type,work environment,0.7522501349449158
32886732,Household Economy And Poverty trajectory model,is-a,economic model,social policy,0.7733347415924072
32886732,Economic instability,is-a,threat to marginalised populations,,
32886732,Seasonal variation,is-a,factor in economic instability,factor influencing health,0.7498608827590942
32886732,Poverty,is-a,social determinant of health,factor influencing health,0.7891273498535156
32886732,Small scale enterprises,is-a,type of economic activity in Bangladesh,,
32886732,Natural resources,is-a,factor in economic activity in Bangladesh,,
32886732,Ecosystem services,is-a,factor in economic activity in Bangladesh,,
32886732,Stable income,is-a,determinant of well-being,psychosocial factors,0.7020029425621033
32886732,Multidimensional well-being,is-a,measure of household well-being,,
32886732,High seasonality of income,is-a,characteristic of poverty-stricken households,,
32886732,Economic trends,is-a,predictor of future well-being and poverty,,
37360658,Reskilling programs,is-a,tool for social mobility,'role clarity at work place',0.7303478717803955
37360658,Reskilling programs,is-a,tool for economic stability,'higher tax burden on wages',0.708124041557312
37360658,Reskilling programs,is-a,tool for creating a more adaptive workforce,'technology training at workplace',0.7109237909317017
37360658,Reskilling programs,is-a,tool for creating a more inclusive economy,,
37360658,Entrepreneurship,is-a,outcome of reskilling,protective factor,0.7103790044784546
37360658,Optimism,is-a,outcome of reskilling for Black respondents,'higher risk to pregnanat women',0.7243846654891968
37360658,Economic stability,is-a,outcome of reskilling,protective factor,0.7103790044784546
37360658,Social mobility,is-a,outcome of reskilling,protective factor,0.7103790044784546
35805517,China,is-a,Country,,
35805517,Urbanization,is-a,Socio-economic Process,social policy,0.7927939891815186
35805517,Villages,is-a,Rural Community,service professionals,0.7107051610946655
35805517,Economic Development,is-a,Socio-economic Process,social policy,0.7927939891815186
35805517,Village Autonomy,is-a,Social Concept,psychological factor,0.7798240184783936
35805517,Urban Development Zone,is-a,Geographical Area,service professionals,0.7382577657699585
35805517,Community Identity,is-a,Social Concept,psychological factor,0.7798240184783936
35805517,Industrialization,is-a,Socio-economic Process,social policy,0.7927939891815186
35805517,Pollution,is-a,Environmental Concern,work environment,0.7851523160934448
35805517,Economic Instability,is-a,Economic Condition,social policy,0.7259031534194946
35805517,Ethnographic Research,is-a,Research Method,suicide attempts,0.7729818820953369
35805517,Interviews,is-a,Research Method,suicide attempts,0.7729818820953369
34867120,Lebanon,is-a,Country,,
34867120,Syrian conflict,is-a,Conflict,suicide attempts,0.7890215516090393
34867120,Occupied territories,is-a,Territory,suicide attempts,0.726418137550354
34867120,Refugees,is-a,Population group,,
34867120,Palestinian refugees,is-a,Refugees,suicide attempts,0.7995785474777222
34867120,Displaced communities,is-a,Population group,,
34867120,Qualitative study,is-a,Research method,suicide attempts,0.7729818820953369
34867120,In-depth interviews,is-a,Data collection method,work environment,0.7038443088531494
34867120,Focus group discussions,is-a,Data collection method,work environment,0.7038443088531494
34867120,Professional stakeholders,is-a,Role,suicide attempts,0.7293441891670227
34867120,United Nations,is-a,International organization,suicide attempts,0.7545406222343445
34867120,Human rights organizations,is-a,Type of NGO,work environment,0.7160353660583496
34867120,Non-governmental organizations,is-a,Type of organization,work environment,0.7318215370178223
34867120,Palestinian community members,is-a,Community members,service professionals,0.8002986311912537
34867120,Socio-economic instability,is-a,Social determinant,factor influencing health,0.7067723274230957
34867120,Lack of law enforcement,is-a,Social determinant,factor influencing health,0.7067723274230957
34867120,Camp governance,is-a,Political determinant,,
34867120,Familial violence,is-a,Type of violence,domestic violence,0.7901144623756409
34867120,Drug violence,is-a,Type of violence,domestic violence,0.7901144623756409
35757608,Committed Suicides Registry,is-a,National Registry,suicide attempts,0.7293605804443359
35757608,Suicide,is-a,Public Health Challenge,mental health problem,0.7634103298187256
35757608,Suicides,is-a,cause of death,,
36169389,Petrol station worker,is-a,Unskilled labour,,
36169389,Unskilled labour,is-a,Low waged worker,'low wage job',0.7519932985305786
36169389,Low waged worker,is-a,Worker with economic instability,mental health problem,0.7242984771728516
36169389,Worker with economic instability,is-a,Worker with inadequate access to healthcare services,'inability to enroll in federal food assistance',0.7335478067398071
36169389,Fuel dispenser worker,is-a,Petrol station worker,work environment,0.7161778211593628
36169389,Other location worker,is-a,Petrol station worker,work environment,0.7161778211593628
36169389,Worker with neurological disorder,is-a,Petrol station worker,work environment,0.7161778211593628
36169389,Worker with respiratory symptoms,is-a,Petrol station worker,work environment,0.7161778211593628
26766946,Community survey,is-a,Investigation method,protective factor,0.7587745189666748
26766946,Ansan Geriatric study,is-a,Study,work environment,0.7263141870498657
26766946,Happiness Questionnaire,is-a,Evaluation tool,work environment,0.7704523205757141
26766946,Geriatric Depression Scale,is-a,Evaluation tool,work environment,0.7704523205757141
26766946,Beck Depression Inventory,is-a,Evaluation tool,work environment,0.7704523205757141
26766946,100-mm visual analogue scale,is-a,Measurement scale,psychological factor,0.7475528717041016
26766946,Economic problems,is-a,Reasons for unhappiness,,
26766946,Worsened health condition,is-a,Reasons for unhappiness,,
26766946,Good family relationships,is-a,Factors for happiness,psychological factor,0.809762179851532
26766946,Economic stability,is-a,Factors for happiness,psychological factor,0.809762179851532
26766946,Good health,is-a,Factors for happiness,psychological factor,0.809762179851532
26766946,Depression,is-a,Negative factor for happiness,psychological factor,0.7403579354286194
35676642,Economic factors,is-a,Structural factor,protective factor,0.8342810273170471
35676642,Political factors,is-a,Structural factor,protective factor,0.8342810273170471
35676642,Socio-cultural setting of society,is-a,Socio-cultural factor,psychological factor,0.7952514886856079
35676642,Socio-cultural setting of family,is-a,Socio-cultural factor,psychological factor,0.7952514886856079
35676642,Role of international organizations,is-a,Environmental or International factor,factor influencing health,0.7079370021820068
35676642,Political sanctions,is-a,Environmental or International factor,factor influencing health,0.7079370021820068
35676642,Genetic factors,is-a,Situational factor,psychological factor,0.8258816003799438
35676642,Phenomenon of air pollution,is-a,Situational factor,psychological factor,0.8258816003799438
35676642,Inequity in living conditions,is-a,determinant of child development,factor influencing health,0.7255049347877502
35676642,Social harms,is-a,challenge related to social determinants of ECD,'risk of adverse kidney outcomes',0.7166815996170044
35676642,Decreasing social capital,is-a,challenge related to social determinants of ECD,'risk of adverse kidney outcomes',0.7166815996170044
35676642,Lack of public awareness,is-a,challenge related to social determinants of ECD,'risk of adverse kidney outcomes',0.7166815996170044
35676642,Socio-economic inequities,is-a,challenge related to social determinants of ECD,'risk of adverse kidney outcomes',0.7166815996170044
34704064,Hawai'i residents,is-a,population vulnerable to economic hardship,history of domestic violence,0.7233577370643616
34704064,COVID-19 pandemic,is-a,health crisis,mental health problem,0.8263556957244873
34704064,Food security,is-a,health priority,mental health issue,0.7738581895828247
34704064,Healthcare,is-a,health priority,mental health issue,0.7738581895828247
34704064,'āina care,is-a,cultural priority,work environment,0.7595475912094116
34704064,Culturally informed community,is-a,social priority,social policy,0.8034100532531738
34704064,Native Hawaiian,is-a,cultural demographic,work environment,0.7287894487380981
34704064,Non-Native Hawaiian,is-a,cultural demographic,work environment,0.7287894487380981
34704064,Policy recommendations,is-a,solution for public health,mental health problem,0.7152215242385864
34704064,Equitable future,is-a,state goal,,
34704064,Sustainable future,is-a,state goal,,
35089147,Digital Health Literacy,is-a,Important Skillset,protective factor,0.7338767051696777
35089147,Digital Preparedness,is-a,Aspect of Digital Health Skills,'technology training at workplace',0.74112868309021
35089147,Economic Instability,is-a,Social Risk Factor,psychological factor,0.849970817565918
35089147,Disadvantaged Neighborhood,is-a,Social Risk Factor,psychological factor,0.849970817565918
35089147,Low Educational Attainment,is-a,Social Risk Factor,psychological factor,0.849970817565918
35089147,Social Isolation,is-a,Social Risk Factor,psychological factor,0.849970817565918
35089147,VA Health Care System,is-a,Health Care Delivery Location,mental health problem,0.7275591492652893
35089147,Non-VA Health Care System,is-a,Health Care Delivery Location,mental health problem,0.7275591492652893
32489149,Health care professionals,is-a,frontline of defense,,
32489149,Health care professionals,is-a,community wellbeing prioritizer,,
32489149,COVID-19,is-a,novel Coronavirus,,
32489149,Quarantine,is-a,strict infection control measure,nutritional intervention,0.7485712766647339
32489149,Fears of contracting and spreading the virus,is-a,psychosocial effect,psychosocial factors,0.9211854338645935
32489149,Conflict between professional duty and family obligation,is-a,psychosocial effect,psychosocial factors,0.9211854338645935
32489149,Stigma of being infected,is-a,psychosocial effect,psychosocial factors,0.9211854338645935
32489149,Inadequate or inaccurate information,is-a,psychosocial effect,psychosocial factors,0.9211854338645935
32489149,Psychological challenges,is-a,effect of COVID-19 quarantine on health care workers,'higher risk to pregnanat women',0.7317533493041992
32489149,Economic instability,is-a,intensifier of psychological challenges,psychological factor,0.7206299304962158
10678472,HIV/AIDS,is-a,Disease,suicide attempts,0.7879545092582703
10678472,Injection drug use,is-a,Risk behaviour,protective factor,0.785812497138977
10678472,Homosexual risk behaviour,is-a,Risk behaviour,protective factor,0.785812497138977
10678472,Heterosexual risk behaviour,is-a,Risk behaviour,protective factor,0.785812497138977
10678472,Sexually transmitted infections,is-a,Disease,suicide attempts,0.7879545092582703
10678472,Economic instability,is-a,Social factor,psychological factor,0.895585298538208
10678472,Poverty,is-a,Social factor,psychological factor,0.895585298538208
10678472,Gender roles,is-a,Social factor,psychological factor,0.895585298538208
10678472,AIDS crisis,is-a,Health crisis,mental health problem,0.8263556957244873
10678472,HIV transmission,is-a,Disease transmission,nutritional deficiency,0.790137767791748
10678472,Russian Federation,is-a,Country,,
10678472,Eastern Europe,is-a,Geographic region,,
26506676,Mandatory motorcycle helmet law,is-a,safety regulation,workplace safety requirements,0.8220295310020447
26506676,Health care costs,is-a,economic factor,psychological factor,0.8068011403083801
26506676,Financial model,is-a,analytical tool,protective factor,0.7604761123657227
26506676,Helmeted rider,is-a,motorcycle rider,service professionals,0.7122576236724854
26506676,Nonhelmeted rider,is-a,motorcycle rider,service professionals,0.7122576236724854
26506676,Health care economics,is-a,field of study,mental health issue,0.7087175846099854
26506676,Hospital treatment cost,is-a,health care cost,nutritional intervention,0.7383581399917603
26506676,Medicaid cost,is-a,public expenditure,social policy,0.7174527645111084
26506676,Connecticut,is-a,U.S. state,,
26506676,Economic stability,is-a,economic condition,social policy,0.7259031534194946
26506676,Injury severity,is-a,health outcome,mental health issue,0.7946832180023193
37129396,Modern man,is-a,observer of own health,,
37129396,Physical health,is-a,aspect of total health,social policy,0.7692154049873352
37129396,Mental health,is-a,aspect of total health,social policy,0.7692154049873352
37129396,Kursk Oblast,is-a,geographical location,,
37129396,Sociological studies,is-a,research method,suicide attempts,0.7729818820953369
37129396,Complex epidemiological situation,is-a,health context,work environment,0.8048662543296814
37129396,Complicated geopolitical situation,is-a,socio-political context,social policy,0.7906816005706787
37129396,Personal characteristics,is-a,factor affecting health attitude,factor influencing health,0.8992984294891357
37129396,Attitudes to health,is-a,personal belief,psychological distress,0.7693227529525757
37129396,Health saving,is-a,proactive health behavior,factor influencing health,0.7686922550201416
35299611,Social media,is-a,tool for economic strategies,,
35299611,Entrepreneurial activities,is-a,result of social media use,psychological effect,0.7085819244384766
35299611,Online platforms,is-a,tool for decreasing global inequalities,,
35299611,Entrepreneurship,is-a,form of online economic exchange,,
35299611,Gendered work,is-a,longstanding expectation,,
35299611,Economic stability,is-a,result of social media use,psychological effect,0.7085819244384766
35299611,Local norms,is-a,subject to change by social media use,,
35299611,Sociality shifts,is-a,result of social media use within communities,factor influencing health,0.7227355241775513
23870846,Mental health problems,is-a,Health issue,mental health issue,0.8684024810791016
23870846,Substance use problems,is-a,Health issue,mental health issue,0.8684024810791016
23870846,Depression,is-a,Mental health problem,mental health problem,1.0000001192092896
23870846,Anxiety,is-a,Mental health problem,mental health problem,1.0000001192092896
23870846,Alcohol use,is-a,Substance use problem,mental health problem,0.8376829028129578
23870846,Nicotine use,is-a,Substance use problem,mental health problem,0.8376829028129578
23870846,Marijuana use,is-a,Substance use problem,mental health problem,0.8376829028129578
23870846,High school diploma,is-a,Educational attainment,adverse childhood experiences,0.7008938193321228
23870846,Socio-economic status,is-a,Social determinant of health,factor influencing health,0.7891273498535156
23870846,Co-occurring mental health and substance use problems,is-a,Health issue,mental health issue,0.8684024810791016
23870846,Educational attainment,is-a,Social determinant of health,factor influencing health,0.7891273498535156
23870846,Market labor force participation,is-a,Socio-economic status indicator,,
23870846,Non-market labor force participation,is-a,Socio-economic status indicator,,
23870846,Income maintenance,is-a,Socio-economic status indicator,,
23870846,Wealth accumulation,is-a,Socio-economic status indicator,,
31281173,Domestic Violence,is-a,Health-related Issue,mental health issue,0.8636752367019653
31281173,Physical Violence,is-a,Domestic Violence,domestic violence,0.9999998807907104
31281173,Mental Violence,is-a,Domestic Violence,domestic violence,0.9999998807907104
31281173,Sexual Violence,is-a,Domestic Violence,domestic violence,0.9999998807907104
31281173,Domestic Violence,is-a,Public Health Problem,mental health problem,0.8874388933181763
31281173,Economic Instability,is-a,risk factor for Domestic Violence,history of domestic violence,0.8542938232421875
31281173,Witnessing Domestic Violence in Childhood,is-a,risk factor for Domestic Violence,history of domestic violence,0.8542938232421875
31281173,Preventive Services,is-a,measure against Domestic Violence,domestic violence,0.8330892324447632
31281173,Population-based Measures,is-a,measure against Domestic Violence,domestic violence,0.8330892324447632
34792897,Coronavirus infection,is a,Global health issue,mental health issue,0.7798892259597778
34792897,Digitalization,is a,Trend in remote technologies,,
34792897,Self-organization and mutual assistance,is a,Response to the spread of coronavirus infection,'risk of vector borne disease',0.8124974966049194
34792897,Economic situation,is a,Aspect of socio-economic state,social policy,0.7022597789764404
34792897,Financial situation of citizens,is a,Aspect of socio-economic state,social policy,0.7022597789764404
34792897,Restrictions on mass events,is a,Response to the spread of coronavirus infection,'risk of vector borne disease',0.8124974966049194
34792897,Digital control,is a,Method of state governance,social policy,0.7644184827804565
34792897,The Higher School of Economics,is a,Research institution,suicide attempts,0.7862569093704224
34792897,Civil society,is a,Focus of the Higher School of Economics,,
34792897,Non-profit sector,is a,Focus of the Higher School of Economics,,
33971002,SARS,is-a,Disease,suicide attempts,0.7879545092582703
33971002,Disease emergence,is-a,Global health issue,mental health issue,0.7798892259597778
33971002,Human activities,is-a,Factor affecting disease emergence,factor influencing health,0.8811020255088806
33971002,Economic stability,is-a,Role of insurance industry,social policy,0.7420831322669983
33971002,Unprecedented new risks,is-a,Consequence of disease emergence,'risk of vector borne disease',0.7648277282714844
33971002,Scenarios anticipation,is-a,Task of insurance industry,service professionals,0.7040283679962158
27543948,Socioeconomic status,is-a,complex construct,,
27543948,SES indicators,is-a,factor impacting cancer outcomes,factor influencing health,0.8623263239860535
27543948,Pediatric AML patients,is-a,patient group,work environment,0.7700989246368408
27543948,Surveillance,Epidemiology,"and End Results database, is-a, data source",,
27543948,Factor analysis,is-a,statistical method,psychological factor,0.7589656114578247
27543948,Cluster analysis,is-a,statistical method,psychological factor,0.7589656114578247
27543948,Economic/educational disadvantage,is-a,SES factor,psychological factor,0.7221681475639343
27543948,Immigration-related features,is-a,SES factor,psychological factor,0.7221681475639343
27543948,Housing instability,is-a,SES factor,psychological factor,0.7221681475639343
27543948,Absence of moving,is-a,SES factor,psychological factor,0.7221681475639343
27543948,Pediatric AML mortality risk,is-a,health outcome,mental health issue,0.7946832180023193
19326781,Conservative economic policy,is-a,economic policy,social policy,0.9118348956108093
19326781,Redistribution of wealth,is-a,economic effect,psychological effect,0.8414169549942017
19326781,Power shift,is-a,social effect,psychological effect,0.9047143459320068
19326781,Economic instability,is-a,social determinant of health,factor influencing health,0.7891273498535156
19326781,Unemployment,is-a,social determinant of health,factor influencing health,0.7891273498535156
19326781,Poverty,is-a,social determinant of health,factor influencing health,0.7891273498535156
19326781,Inequality,is-a,social determinant of health,factor influencing health,0.7891273498535156
19326781,Dangerous products,is-a,social determinant of health,factor influencing health,0.7891273498535156
19326781,Infectious disease,is-a,health outcome,mental health issue,0.7946832180023193
19326781,Chronic disease,is-a,health outcome,mental health issue,0.7946832180023193
31970384,Antimicrobial resistance,is a,threat to population health,'risk of vector borne disease',0.7258799076080322
31970384,Antimicrobial resistance,is a,threat to food security,domestic violence,0.717360258102417
31970384,Antimicrobial resistance,is a,threat to economic stability,,
31970384,Pharmaceutical industry,is a,contributor to antimicrobial stewardship,'exposure to persistent organic pollutants(pop)',0.7366310358047485
31970384,Merck & Co.,Inc.,"is a, pharmaceutical company",,
28292764,Microfinance programmes,is-a,Financial intervention,nutritional intervention,0.8040246963500977
28292764,Pigs for Peace (PFP),is-a,Livestock productive asset transfer programme,,
28292764,Rabbits for Resilience (RFR),is-a,Livestock productive asset transfer programme,,
28292764,Adult permanent residents of rural villages,is-a,PFP participant,,
28292764,Male and female adolescents 10-15 years old,is-a,RFR participant,,
28292764,Community-led sustainable development initiatives,is-a,"Solution for improved health, economic and social impact",,
30025307,Child Maltreatment,is-a,Social Issue,social policy,0.8427919745445251
30025307,Economic Stability,is-a,Determinant of Social Issue,factor influencing health,0.7381445169448853
30025307,Political Stability,is-a,Determinant of Social Issue,factor influencing health,0.7381445169448853
30025307,Self-expressive Values,is-a,Cultural Aspect,work environment,0.7783279418945312
30025307,Survivalist Orientation,is-a,National Orientation,suicide attempts,0.7101262807846069
30025307,Quality of Life,is-a,Outcome of Individual Autonomy,work environment,0.7108770608901978
30025307,National Norms,is-a,Influence on Individual Attitudes,factor influencing health,0.8063764572143555
30025307,National Policies,is-a,Influence on Individual Attitudes,factor influencing health,0.8063764572143555
1945555,Increasing numbers of women,is-a,participants in labor force,,
1945555,Increasing numbers of children,is-a,participants in child care,history of domestic violence,0.7327774167060852
1945555,Infants in child care,is-a,risk of insecure attachment,history of domestic violence,0.7209306359291077
1945555,High-quality child care,is-a,factor for improved child outcome,factor influencing health,0.7795653343200684
1945555,Pediatrician,is-a,monitor of child well-being,,
1945555,Pediatrician,is-a,advisor for parents as consumers of child care,'poor health of pregnant women from unstable housing',0.7247756719589233
1945555,Pediatrician,is-a,promoter of high-quality care availability,'degree of responsibility and accountability at work',0.7268974781036377
1945555,Low child-to-staff ratio,is-a,characteristic of high-quality child care,,
1945555,Small group size,is-a,characteristic of high-quality child care,,
1945555,Training of child care providers,is-a,characteristic of high-quality child care,,
34403798,Socioeconomic status (SES),is-a,complex structure,work environment,0.7660055756568909
34403798,Factor 1,is-a,economic and social disadvantage,social policy,0.7340978384017944
34403798,Factor 2,is-a,immigration-associated characteristics,,
34403798,Factor 3,is-a,housing instability,alcohol drinking,0.7841395735740662
34403798,Factor 4,is-a,absence of intrastate mobility,,
34403798,Economic and education disadvantage,is-a,aspect of Factor 1,psychological factor,0.767238199710846
34403798,Foreign-born,language isolation,"less household room, recent interstate residential stability, is-a, aspect of Factor 2",,
34403798,SES indicators,is-a,influence on outcomes of adult gliomas,'risk of adverse kidney outcomes',0.7511530518531799
34403798,Economic-educational disadvantages,relocation instability,"immigration-related characteristics, is-a, factors influencing outcomes of adult gliomas",'higher risk to pregnanat women',0.7436156272888184
26911573,European Paediatric Association,is-a,Union of National European Societies and Associations,,
26911573,Economic Crisis,is-a,Threat to public health services,mental health problem,0.7482658624649048
26911573,Public health care systems,is-a,Sustainability concern,work environment,0.7923765182495117
26911573,Euro zone economic crisis,is-a,Threat to public health services,mental health problem,0.7482658624649048
26911573,Public hospitals,is-a,Provider of public health care services,mental health issue,0.7189615964889526
26911573,Primary Care Paediatric networks,is-a,Provider of public health care services,mental health issue,0.7189615964889526
26911573,Political strategic decisions,is-a,Driving force in pediatric healthcare,factor influencing health,0.7309384346008301
26911573,Social sensitivity,is-a,Requirement in pediatric healthcare,nutritional intervention,0.7266799211502075
26911573,Cultural sensitivity,is-a,Requirement in pediatric healthcare,nutritional intervention,0.7266799211502075
26911573,Economic sensitivity,is-a,Requirement in pediatric healthcare,nutritional intervention,0.7266799211502075
26911573,Cross-border regional program,is-a,Model for pediatric healthcare,nutritional intervention,0.7065644264221191
26911573,Cost-effective healthcare programs,is-a,Possible outcome of local European experiences,,
35126218,Pakistan,has_project,China-Pakistan Economic Corridor,,
35126218,China-Pakistan Economic Corridor,influenced_by,external environment factors,factor influencing health,0.7775027751922607
35126218,China-Pakistan Economic Corridor,influenced_by,COVID-19,,
35126218,China-Pakistan Economic Corridor,has_effect_on,economic stability,social policy,0.710205614566803
35126218,COVID-19,weakens_relation,CPEC development and economic stability,,
29320892,Preventable hospitalizations,is-a,"measure of, primary care access",mental health problem,0.7007070779800415
29320892,Ambulatory care sensitive conditions,is-a,"example of, Preventable hospitalizations",'higher risk to pregnanat women',0.707094669342041
29320892,The financial crisis of 2007-2008,is-a,"period of, economic instability",,
29320892,Hospitalizations for ACSCs,is-a,"proxy measure, for primary care access",,
29320892,The homeless,is-a,underserved population,,
29320892,The New York State Inpatient Database,is-a,"source of data, on hospitalizations",history of domestic violence,0.7221104502677917
29320892,Multivariable linear regression,is-a,"statistical method, used in health research",factor influencing health,0.708527684211731
29320892,Health policies,is-a,"tool for, addressing health disparities",'risk of adverse kidney outcomes',0.7009405493736267
29320892,Primary care access,is-a,"determinant of, preventable hospitalizations",'risk of adverse kidney outcomes',0.7448478937149048
26497097,Intimate partner violence,is-a,risk factor,psychological factor,0.8338807821273804
26497097,Alcohol consumption,is-a,behavioral circumstance increasing risk for IPV,'higher risk to pregnanat women',0.7390972375869751
26497097,Economic instability,is-a,social circumstance increasing risk for IPV,'higher risk to pregnanat women',0.7561137676239014
26497097,Male dominance,is-a,social circumstance increasing risk for IPV,'higher risk to pregnanat women',0.7561137676239014
26497097,Disrespect of husband by wife,is-a,social circumstance increasing risk for IPV,'higher risk to pregnanat women',0.7561137676239014
26497097,Stigma,is-a,social consequence of IPV,factor influencing health,0.7206515073776245
26497097,Lack of proper parental guidance,is-a,consequence of IPV on children,'higher risk to pregnanat women',0.732163667678833
26497097,Lack of safety and stability,is-a,consequence of IPV on children,'higher risk to pregnanat women',0.732163667678833
26497097,Violence in relationships,is-a,possible outcome of IPV on children,'higher risk to pregnanat women',0.7400180101394653
26497097,Placating male behaviors,is-a,strategy employed by IPV survivors,,
26497097,Social and financial control,is-a,strategy employed by IPV perpetrators,,
26497097,Couples mediation,is-a,community based social support system,,
26497097,Responsible partner and fatherhood programs,is-a,community based social support system,,
16619736,sustained economic growth,is-a,economic factor,psychological factor,0.8068011403083801
16619736,increasing economic stability,is-a,economic factor,psychological factor,0.8068011403083801
16619736,changing lifestyles,is-a,lifestyle factor,psychological factor,0.7611160278320312
16619736,excessive consumption of nutrients,is-a,dietary habit,nutritional intervention,0.8371309638023376
16619736,malnutrition problem,is-a,health issue,mental health issue,0.8684024810791016
16619736,underweight,is-a,health condition,mental health problem,0.8283094167709351
16619736,stunting,is-a,health condition,mental health problem,0.8283094167709351
16619736,micronutrient deficiencies,is-a,nutritional issue,nutritional intervention,0.8572357892990112
16619736,effective data collection and analysis,is-a,research method,suicide attempts,0.7729818820953369
16619736,intervention programs,is-a,health strategy,social policy,0.8267589807510376
28217574,Universal Health Coverage,is-a,health care agenda,mental health issue,0.735642671585083
28217574,Health care delivery system,is-a,part of Universal Health Coverage,,
28217574,Global Bazaar,is-a,potential trajectory for UHC in India,,
28217574,Preventing wasteful,expensive health-care expenditure,"is-a, potential trajectory for UHC in India",,
28217574,Public health in public interest,is-a,goal of UHC implementation,,
27414815,PTSD,is-a,mental disorder,mental health problem,0.8452403545379639
27414815,MDD,is-a,mental disorder,mental health problem,0.8452403545379639
27414815,Armed conflict,is-a,traumatic event,psychological distress,0.75164395570755
27414815,Occupation,is-a,socio-economic factor,psychological factor,0.7214906215667725
27414815,Political instability,is-a,socio-political factor,psychological factor,0.7738580703735352
27414815,Economic instability,is-a,socio-economic factor,psychological factor,0.7214906215667725
27414815,Health problems,is-a,physical health factor,psychological factor,0.8237764239311218
27414815,Social life events,is-a,life experience factor,psychological factor,0.8531494140625
27414815,Witnessed traumatic events,is-a,traumatic experience,psychological distress,0.8302525281906128
34840497,COVID-19,is-a,health threat,suicide attempts,0.8155684471130371
34840497,Mental health,is-a,facet of well-being,'poor physical well being',0.707176685333252
34840497,Economic stability,is-a,facet of well-being,'poor physical well being',0.707176685333252
34840497,Food security,is-a,facet of well-being,'poor physical well being',0.707176685333252
