PMID,Child Concept,Relationship,Parent Concept,Similar Concepts,Similarities,Most Similar Concept
12332401,Education,is-a,Social Determinant of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
12292288,Education,is-a,Social Determinant of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
35379518,Education,is-a,subcategory of Social Determinants of Health,,,
37329902,Education,is-a,"domain of, social determinants of health",,,
12283640,Education,is-a,social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
31242086,Education,is-a,social determinants of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, social determinants of health significantly limiting diagnosis or treatment, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Counseling for social determinant of health risk, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9999999895919076, 0.9999999895919076, 0.9999999895919076, 0.9999999895919076, 0.9145038971341557, 0.9099084196881976, 0.877056099995079, 0.9099084196881976, 0.877056099995079, 0.8347328448954254, 0.898175186411588, 0.898175186411588, 0.8142496818741656, 0.8037074137262162, 0.8047812940377234, 0.8743751724331312, 0.8579686883399678, 0.8691221010915874, 0.8294325258279347, 0.7815524917320777, 0.9037896028809331, 0.8030488020936529, 0.7953914461984481, 0.8210299436087192, 0.8226689054219376, 0.8463439219560681, 0.7803762699842617, 0.8480381248515766",Social Determinants of Health
31789121,Education,is-a,Social Determinant of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
30951641,Education,is-a,social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
32406047,Education,is-a,social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
33519152,Education,is-a,Social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
32808192,Education,is-a,social determinants of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, social determinants of health significantly limiting diagnosis or treatment, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Counseling for social determinant of health risk, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9999999895919076, 0.9999999895919076, 0.9999999895919076, 0.9999999895919076, 0.9145038971341557, 0.9099084196881976, 0.877056099995079, 0.9099084196881976, 0.877056099995079, 0.8347328448954254, 0.898175186411588, 0.898175186411588, 0.8142496818741656, 0.8037074137262162, 0.8047812940377234, 0.8743751724331312, 0.8579686883399678, 0.8691221010915874, 0.8294325258279347, 0.7815524917320777, 0.9037896028809331, 0.8030488020936529, 0.7953914461984481, 0.8210299436087192, 0.8226689054219376, 0.8463439219560681, 0.7803762699842617, 0.8480381248515766",Social Determinants of Health
28060469,Education,is-a,Social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
36111269,Education,is-a,Social Risk Factor,"Social Risk Factor, Risk Factors, CDISC SDTM Social Risk Factor Terminology, social environmental risk factors, social risk and protective factors, social environmental risk and protective factors, Screen for risk factors associated with domestic abuse (e.g., history of domestic violence, abuse, rejection, excessive criticism, or feelings of being worthless and unloved; difficulty trusting others or feeling disliked by others; feeling that asking for help is an indication of personal incompetence; high physical care needs; intense family care responsibilities; substance abuse; depression; major psychiatric illness; social isolation; poor relationships between domestic partners; multiple marriages; pregnancy; poverty; unemployment; financial dependence; homelessness; infidelity; divorce; or death of a loved one)","0.999999981780316, 0.9466469022795144, 0.8073121555871063, 0.9817967017272828, 0.9769892903493996, 0.9703549492615403, 0.829972983655351, 0.8958985770862334, 0.8495972726338249, 0.7953363960853341, 0.8498299226399986, 0.8094631399476439",Social Risk Factor
24204105,Education,is-a,traditional turning point,,,
12292961,Education,is-a,Social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
10349247,Education,is-a,Social Determinant of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
12291891,Education,is-a,societal cost,,,
23819135,Education,is-a,key area of social determinants of health,,,
8479852,Education,is-a,Social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
12290831,Education,is-a,Social Determinant of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
24817832,Education,economic stability,"family/child support, mental and physical health, is-a, skill development areas in MIN",,,
20191684,Education,is-a,Social Determinant of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
12319111,Education,is-a,Social Determinant of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
12293624,Education,is-a,Social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
36743285,Education,is-a,Social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
22519844,Education,is-a,social factor,"Social factor, social factor, Social Factors, factor social, Social factor, NOS, Social Risk Factor, Risk Factors, Socioeconomic Factors, Occupation-related social factor, Family-related social factor, Family-related social factor, Occupation-related social factor, factor social relacionado con la familia, factor social relacionado con la ocupación, Factores Socioeconómicos, CDISC SDTM Social Risk Factor Terminology, Factores Sociales, Factores de Riesgo, Environmental and Social Factors Domain, Environmental and Social Factors Supplemental Qualifiers Dataset, Other social factors:Hx:Pt:^Patient:Nar, social factor in disease, social factor in AODU, Other social factors:Hx:Pt:^Patient:Nom, Other social factors","0.9999999854513131, 0.9999999854513131, 0.9745734468147291, 0.9054216725287983, 0.9999999854513131, 0.8395470331328035, 0.9594230979133694, 0.9133737783183974, 0.9508600199645858, 0.9648985948686073, 0.9777520766793372, 0.9777520766793372, 0.9648985948686073, 0.8293797619487202, 0.811693901478648, 0.8472188466900494, 0.8610544943808651, 0.8484030695270739, 0.828294312149624, 0.9259517063127578, 0.8785188486931094, 0.891786469076533, 0.9104758475254918, 0.9096083705994538, 0.887620938545456, 0.938475028607346",Social factor
