0,1,2,3,Min Jaccard Distance,Min Euclidean Distance,Most Matching Term by Jaccard,Most Matching Term by Euclidean,Most Matching Term by Levenshtein,Min Levenshtein Distance
24118831,Interprofessional socialization and valuing scale,is-a,assessment tool,,,,,'lower earning',14.0
24118831,Dementia case study,is-a,learning resource,,,,,'bullying at school',15.0
24118831,Health science students,is-a,learner,,,,,'lower earning',10.0
22158003,RNs,is-a,healthcare professional,,,,,'cultural barriers',17.0
22158003,APNs,is-a,healthcare professional,,,,,'cultural barriers',17.0
22158003,DNP students,is-a,healthcare professional,,,,,'cultural barriers',17.0
22158003,DNP statistics course,is-a,educational program,0.6666666666666667,,'educational infrastructure',,'vocational training',11.0
20603340,Mainstream program,is-a,Educational placement,0.6666666666666667,,'educational infrastructure',,'vocational training',11.0
20603340,Separate program,is-a,Educational placement,0.6666666666666667,,'educational infrastructure',,'vocational training',11.0
26780961,Soundfield amplification devices,is-a,Classroom technology,,,,,'lower earning',14.0
26780961,Dynamic soundfield system,is-a,Classroom technology,,,,,'lower earning',14.0
26780961,Standardized tests,is-a,Academic performance evaluation method,,,,,'racial segreggation',28.0
26780961,Signal-to-noise ratio,is-a,Classroom noise measurement method,,,,,'poor parenting',26.0
26780961,Teacher's voice,is-a,Classroom teaching tool,,,,,'lower earning',15.0
26780961,Student's academic performance,is-a,Education outcome,,,,,'vocational training',14.0
26780961,Teacher's vocal strain,is-a,Occupational health issue,,,,,'vocational training',15.0
26780961,Control group,is-a,Study group,,,,,'lower earning',13.0
26780961,Experimental group,is-a,Study group,,,,,'lower earning',13.0
26780961,Prospective cohort study,is-a,Research methodology,,,,,'lower earning',16.0
24585466,Thai medical school,is-a,Educational Institution,0.6666666666666667,,'educational infrastructure',,'educational infrastructure',11.0
24585466,First preclinical year medical students,is-a,Student Group,,,,,'lower earning',13.0
24585466,Pre-MD GPA,is-a,Academic Achievement Indicator,,,,,'employment prospect',23.0
24585466,Anatomy,is-a,Major Subject,,,,,'poor parenting',12.0
24585466,Physiology,is-a,Major Subject,,,,,'poor parenting',12.0
24585466,Biochemistry,is-a,Major Subject,,,,,'poor parenting',12.0
24585466,Student satisfaction,is-a,Educational Experience Metric,,,,,'educational infrastructure',16.0
24585466,Percentage of expected reading,is-a,Study Habit Metric,,,,,'cultural barriers',15.0
24585466,Monthly earnings,is-a,Economic Factor,,,,,'lower earning',14.0
24585466,Reading after class and near exam time,is-a,Study Habit Metric,,,,,'cultural barriers',15.0
24585466,Duration of sleeping periods near exam time,is-a,Lifestyle Factor,,,,,'lower earning',14.0
24585466,Motivation to study medicine,is-a,Personal Factor,,,,,'cultural barriers',14.0
24585466,Exam performance expectations,is-a,Academic Goal,,,,,'lower earning',14.0
21652508,Thyroid diseases,is-a,endocrine disorders,,,,,'cultural barriers',15.0
21652508,Problem-based learning,is-a,pedagogical strategy,,,,,'vocational training',15.0
21652508,Hypo-/hyperthyroidism,is-a,thyroid dysfunction,,,,,'poor parenting',15.0
21652508,Body weight,is-a,clue,,,,,'lower earning',13.0
21652508,Mesenteric vascularization,is-a,clue,,,,,'lower earning',13.0
21652508,Visceral fat,is-a,clue,,,,,'lower earning',13.0
21652508,Heart and thyroid size,is-a,clue,,,,,'lower earning',13.0
21652508,Heart rate,is-a,clue,,,,,'lower earning',13.0
21652508,Thyroid-stimulating hormone serum concentration,is-a,clue,,,,,'lower earning',13.0
21652508,Animals,is-a,material,,,,,'lower earning',12.0
21652508,Pictures,is-a,material,,,,,'lower earning',12.0
21652508,Small stuffed toy rats,is-a,material,,,,,'lower earning',12.0
21652508,Illustrations,is-a,material,,,,,'lower earning',12.0
38183075,Experiential service-learning,is-a,teaching method,,,,,'bullying at school',14.0
38183075,Preventive Dentistry,is-a,practical course,,,,,'cultural barriers',13.0
38183075,Oral Health Examination and Education Project,is-a,example of experiential service-learning,,,,,'alternative schooling',29.0
38183075,Oral epidemiology,is-a,field in dental and oral public health programs,,,,,'educational infrastructure',34.0
33594691,Asthma,is-a,Chronic Disease,,,,,'lower earning',14.0
33594691,Exacerbation,is-a,Health Event,,,,,'lower earning',12.0
33594691,Primary School,is-a,Educational Institution,0.6666666666666667,,'educational infrastructure',,'educational infrastructure',11.0
33594691,Teacher,is-a,Professional Role,,,,,'vocational training',14.0
33594691,Asthma Management,is-a,Health Practice,,,,,'poor parenting',12.0
33594691,Systematic Review,is-a,Research Method,,,,,'lower earning',14.0
33594691,Legislation,is-a,Legal Document,,,,,'lower earning',13.0
33594691,Policy,is-a,Guiding Principle,,,,,'bullying at school',13.0
33594691,Guideline,is-a,Best Practice,,,,,'poor parenting',11.0
24838440,Anatomical Knowledge,is-a,Type of Clinical Knowledge,,,,,'vocational training',20.0
24838440,Carpal Bone Test,is-a,Evaluation Method for Anatomical Knowledge,,,,,'availability of financial aid',29.0
24838440,Chiropractic Students,is-a,Type of University Students,,,,,'employment prospect',21.0
24838440,Mnemonics,is-a,Learning Style,,,,,'lower earning',12.0
24838440,Clinical Application,is-a,Learning Style,,,,,'lower earning',12.0
31213319,Flipped classroom,is-a,Educational method,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
31213319,Traditional classroom,is-a,Educational method,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
31213319,Web-based survey,is-a,Data collection method,,,,,'racial segreggation',18.0
31213319,Pharmacy education,is-a,Tertiary education,,,,,'racial segreggation',13.0
31213319,Final exam performance,is-a,Academic performance measurement,,,,,'employment prospect',23.0
18836990,Allied Health Professional registration,is-a,professional requirement in the UK,,,,,'vocational training',23.0
18836990,Continuing Professional Development activity,is-a,part of Allied Health Professional registration,,,,,'racial segreggation',33.0
18836990,Clinical placement component,is-a,part of pre-registration curriculum,,,,,'racial segreggation',25.0
18836990,Pre-registration curriculum,is-a,factor influencing learner development,,,,,'racial segreggation',29.0
18836990,Learning approaches inventory,is-a,tool for data collection,,,,,'poor parenting',17.0
18836990,Placement self-assessment form,is-a,tool for data collection,,,,,'poor parenting',17.0
24978016,Nursing students,is-a,type of students,,,,,'poor parenting',13.0
24978016,Social determinants,is-a,factor impacting health,,,,,'poor parenting',16.0
24978016,Poverty,is-a,social determinant,,,,,'vocational training',13.0
24978016,Unsafe housing,is-a,social determinant,,,,,'vocational training',13.0
24978016,Illiteracy,is-a,social determinant,,,,,'vocational training',13.0
24978016,Patient advocacy service-learning course,is-a,educational course,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
24978016,Low-income individuals,is-a,vulnerable population,,,,,'cultural barriers',16.0
24978016,Awareness,is-a,learning objective,,,,,'bullying at school',15.0
24978016,Proficiency,is-a,learning objective,,,,,'bullying at school',15.0
15304440,Deaf college students,is-a,College students,,,,,'lower earning',13.0
15304440,Baccalaureate students,is-a,College students,,,,,'lower earning',13.0
15304440,Sub-baccalaureate students,is-a,College students,,,,,'lower earning',13.0
15304440,Tutoring outcomes,is-a,Educational outcomes,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
15304440,Tutoring sessions,is-a,Educational activities,0.6666666666666667,,'educational infrastructure',,'vocational training',11.0
15304440,Tutors,is-a,Educational personnel,0.6666666666666667,,'educational infrastructure',,'vocational training',10.0
34591229,Clinical educators,is-a,type of healthcare professional,,,,,'employment prospect',23.0
34591229,Speech pathology placements,is-a,type of student placements,,,,,'employment prospect',18.0
34591229,Demand-Control-Support model,is-a,theoretical model,,,,,'lower earning',14.0
34591229,Workplace engagement,is-a,type of job-related factor,,,,,'poor parenting',20.0
34591229,Caseload throughput,is-a,type of workload,,,,,'lower earning',14.0
34591229,Fuzzy set Qualitative Comparative Analysis (fsQCA),is-a,research method,,,,,'lower earning',14.0
34591229,Complexity theory,is-a,theoretical framework,,,,,'vocational training',14.0
18447571,Undergraduate education,is-a,Education,,,,,'lower earning',12.0
18447571,Music therapy students' epistemological development,is-a,Developmental need,,,,,'employment prospect',13.0
18447571,Collaborative learning consensus groups,is-a,Teaching method,,,,,'bullying at school',14.0
18447571,Music therapy,is-a,Profession,,,,,'lower earning',12.0
23027675,Online teaching module,is-a,Educational tool,0.6666666666666667,,'educational infrastructure',,'vocational training',11.0
23027675,In-house software,is-a,Software tool,,,,,'poor parenting',11.0
23027675,Final examination,is-a,Assessment method,,,,,'employment prospect',16.0
23027675,Student survey,is-a,Feedback method,,,,,'lower earning',15.0
23027675,Multiple choice questions,is-a,Assessment type,,,,,'employment prospect',14.0
23027675,Short answer questions,is-a,Assessment type,,,,,'employment prospect',14.0
23027675,Do-It-Yourself e-learning approach,is-a,Learning method,,,,,'lower earning',13.0
23027675,Online resources,is-a,Learning material,,,,,'bullying at school',14.0
23027675,Musculoskeletal anatomy,is-a,Anatomy topic,,,,,'lower earning',14.0
14535145,Prerequisite science course performance,is-a,academic performance indicator,,,,,'employment prospect',23.0
14535145,Tutoring services,is-a,academic support service,,,,,'higher stress level',19.0
14535145,First semester nursing students,is-a,student group,,,,,'lower earning',13.0
14535145,Academic performance,is-a,student performance measure,,,,,'cultural barriers',21.0
14535145,Tutorial sessions,is-a,academic support service,,,,,'higher stress level',19.0
14535145,Nursing faculty,is-a,academic staff,,,,,'lower earning',14.0
25650015,Stellenbosch University,is-a,Educational Institution,0.6666666666666667,,'educational infrastructure',,'educational infrastructure',11.0
25650015,South Africa,is-a,Country,,,,,'lower earning',13.0
25650015,Basic histology,is-a,Academic Subject,,,,,'lower earning',15.0
25650015,First-year medical students,is-a,University Students,,,,,'higher stress level',15.0
25650015,Physiotherapy students,is-a,University Students,,,,,'higher stress level',15.0
25650015,Dietetic students,is-a,University Students,,,,,'higher stress level',15.0
25650015,Lecturer,is-a,Academic Staff,,,,,'lower earning',14.0
25650015,PowerPoint presentation,is-a,Educational Material,0.6666666666666667,,'educational infrastructure',,'vocational training',11.0
25650015,Overhead projector,is-a,Teaching Equipment,,,,,'vocational training',16.0
25650015,Blank sheets of paper,is-a,Writing Material,,,,,'bullying at school',14.0
25650015,Questionnaire,is-a,Feedback Tool,,,,,'lower earning',14.0
25650015,Draw-along maps,is-a,Learning Tool,,,,,'lower earning',11.0
31332889,Teachers' knowledge,is-a,critical component in student learning,,,,,'social-emotional skills training',26.0
31332889,Phonological awareness,is-a,literacy knowledge,,,,,'lower earning',14.0
31332889,Phonemic awareness,is-a,literacy knowledge,,,,,'lower earning',14.0
31332889,Alphabetic principle/phonics,is-a,literacy knowledge,,,,,'lower earning',14.0
31332889,Morphology,is-a,literacy knowledge,,,,,'lower earning',14.0
31332889,Low socio-economic status schools,is-a,challenging environment for effective teaching,,,,,'high criminal activities',34.0
31332889,Syllable counting skills,is-a,literacy knowledge,,,,,'lower earning',14.0
31332889,Literacy knowledge,is-a,requirement for effective teaching,,,,,'employment prospect',24.0
19502890,PICCs,is-a,type of catheter,,,,,'poor parenting',13.0
19502890,PICC care and troubleshooting,is-a,nursing practice,,,,,'poor parenting',13.0
19502890,PICC educational intervention,is-a,type of education,,,,,'poor parenting',13.0
19502890,Knowledge,Confidence,"and Psychomotor skills, is-a, components of nursing practice",,,,,'social-emotional skills training',46.0
19502890,Pretest,posttest,"Likert scale, and skill checklist, is-a, tools for assessment",,,,,'additional training at school',49.0
19502890,PICC educational programs,is-a,type of nursing education,,,,,'racial segreggation',17.0
26070493,Nursing Education,is-a,Higher Education,,,,,'lower earning',12.0
26070493,Self-directed Learning Readiness,is-a,Learning Process,,,,,'employment prospect',14.0
26070493,Study Process Questionnaire,is-a,Measurement Tool,,,,,'employment prospect',14.0
26070493,Directed Learning Readiness Scale for Nursing Education,is-a,Measurement Tool,,,,,'employment prospect',14.0
3966042,Adolescent mother,is-a,Mother,,,,,'lower earning',12.0
3966042,Nonadolescent mother,is-a,Mother,,,,,'lower earning',12.0
3966042,Face-to-face interaction,is-a,Interaction,,,,,'lower earning',11.0
3966042,Teaching interaction,is-a,Interaction,,,,,'lower earning',11.0
3966042,Ego development,is-a,Psychological factor,,,,,'cultural barriers',16.0
3966042,Child care support,is-a,Social support,,,,,'racial segreggation',14.0
3966042,Education,is-a,Socioeconomic factor,,,,,'vocational training',18.0
3966042,Maternal age,is-a,Demographic factor,,,,,'poor parenting',15.0
3966042,Cognitive deficit in infants,is-a,Health outcome,,,,,'lower earning',14.0
3966042,Higher risk subgroup,is-a,Risk group,,,,,'lower earning',13.0
3966042,Care-giving environment,is-a,Social environment,,,,,'racial segreggation',14.0
26079658,Out-of-school-time academic programs,is-a,recommendation for academically at-risk students,,,,,'additional training at school',35.0
26079658,Reading-focused out-of-school-time academic programs,is-a,Out-of-school-time academic programs,,,,,'alternative schooling',29.0
26079658,Mathematics-focused out-of-school-time academic programs,is-a,Out-of-school-time academic programs,,,,,'alternative schooling',29.0
26079658,General out-of-school-time academic programs,is-a,Out-of-school-time academic programs,,,,,'alternative schooling',29.0
26079658,Out-of-school-time academic programs with minimal academic content,is-a,Out-of-school-time academic programs,,,,,'alternative schooling',29.0
26079658,Academic achievement,is-a,determinant of long-term health,,,,,'employment prospect',24.0
26079658,Out-of-school-time academic programs,is-a,intervention implemented in racial and ethnic and minority or low-income communities,,,,,'inaccessible education due to thresholds of assistance programs',65.0
26079658,Out-of-school-time academic programs,is-a,potential tool to improve health equity,,,,,'educational infrastructure',29.0
1536274,Psychotherapy Supervision Inventory,is-a,Assessment Tool,,,,,'lower earning',14.0
1536274,Supervisor,is-a,Role in Psychotherapy,,,,,'bullying at school',17.0
1536274,Resident,is-a,Role in Psychotherapy,,,,,'bullying at school',17.0
32431304,Doctor of Pharmacy (PharmD) students,is-a,student pharmacists,,,,,'lower earning',14.0
32431304,Pharmacists' Patient Care Process (PPCP),is-a,patient care process,,,,,'cultural barriers',16.0
32431304,Ambulatory pharmacy setting,is-a,practice setting,,,,,'racial segreggation',12.0
32431304,Institutional pharmacy setting,is-a,practice setting,,,,,'racial segreggation',12.0
18597667,Problem-based learning methodology,is-a,Teaching methodology,,,,,'bullying at school',15.0
21249172,Office of College-wide Assessment,is-a,Organizational entity,,,,,'vocational training',15.0
21249172,Medical student competencies,is-a,Educational standard,0.6666666666666667,,'educational infrastructure',,'vocational training',10.0
21249172,Associate Dean of College-wide Assessment,is-a,Academic position,,,,,'racial segreggation',14.0
21249172,Seamless assessment system,is-a,Educational tool,0.6666666666666667,,'educational infrastructure',,'vocational training',11.0
21249172,Educational initiatives,is-a,Program,,,,,'lower earning',12.0
21249172,Data collection and feedback loops,is-a,Assessment method,,,,,'employment prospect',16.0
21249172,Performance gaps,is-a,Educational challenge,0.6666666666666667,,'educational infrastructure',,'vocational training',9.0
21249172,Systems approach to assessment,is-a,Methodology,,,,,'lower earning',13.0
21249172,Medical education expertise,is-a,Professional skill,,,,,'vocational training',14.0
21249172,Better Data for Teachers,Better Data for Learners,"Better Patient Care, is-a, Guiding principle",,,,,'additional training at school',32.0
27293228,Faculty members,is-a,Employees in US schools of pharmacy,,,,,'employment prospect',24.0
27293228,US schools of pharmacy,is-a,Institutions,,,,,'lower earning',14.0
27293228,American Association of Colleges of Pharmacy,is-a,Association,,,,,'poor parenting',12.0
27293228,Faculty database,is-a,Data resource,,,,,'lower earning',13.0
27293228,Educational background,is-a,Characteristic of faculty members,,,,,'high criminal activities',24.0
27293228,Academic rank,is-a,Characteristic of faculty members,,,,,'high criminal activities',24.0
27293228,Previous training,is-a,Experience of faculty members,,,,,'higher stress level',23.0
27293228,Established schools,is-a,Type of schools,,,,,'bullying at school',11.0
27293228,Newer schools,is-a,Type of schools,,,,,'bullying at school',11.0
1430462,Staff development department,is-a,department of hospitals,,,,,'employment prospect',14.0
1430462,Organizational model,is-a,aspect of staff development department,,,,,'employment prospect',28.0
1430462,Departmental organization,is-a,aspect of staff development department,,,,,'employment prospect',28.0
1430462,Instructor role,is-a,aspect of staff development department,,,,,'employment prospect',28.0
1430462,Staff title,is-a,aspect of staff development department,,,,,'employment prospect',28.0
1430462,Core responsibilities,is-a,aspect of staff development department,,,,,'employment prospect',28.0
1430462,Staff preparation,is-a,aspect of staff development department,,,,,'employment prospect',28.0
1430462,Master's degree,is-a,type of staff preparation,,,,,'racial segreggation',17.0
29023502,POGIL,is-a,pedagogy,,,,,'lower earning',12.0
29023502,Process skills,is-a,"part of, science pedagogy",,,,,'racial segreggation',19.0
29023502,Content teaching,is-a,"part of, science pedagogy",,,,,'racial segreggation',19.0
29023502,POGIL,is-a,"form of, guided-inquiry activities",,,,,'high criminal activities',20.0
20122153,Naandi Foundation,is-a,Non-profit organization,,,,,'racial segreggation',16.0
20122153,CHAMPION trial,is-a,Health intervention trial,,,,,'poor parenting',18.0
20122153,STRIPES trial,is-a,Educational intervention trial,,,,,'educational infrastructure',14.0
20122153,Control arm,is-a,Group in a trial,,,,,'poor parenting',13.0
20122153,Intervention arm,is-a,Group in a trial,,,,,'poor parenting',13.0
20122153,After-school academic support,is-a,Education intervention,,,,,'vocational training',13.0
20122153,Uniform and clothes kit,is-a,Material support intervention,,,,,'racial segreggation',19.0
20122153,Primary school students,is-a,Education system stakeholders,,,,,'educational infrastructure',18.0
20122153,Community members,is-a,Intervention delivery agents,,,,,'vocational training',21.0
20122153,Rural Andhra Pradesh,is-a,Geographical location,,,,,'racial segreggation',15.0
20122153,Maths and language test score,is-a,Academic performance measure,,,,,'employment prospect',22.0
20122153,Cost-benefit analysis,is-a,Economic evaluation method,,,,,'poor parenting',19.0
12028612,Self-Determination Theory,is-a,psychological theory,,,,,'bullying at school',16.0
12028612,Teacher-behaviours,is-a,factor influencing student engagement,,,,,'racial segreggation',27.0
12028612,Autonomy-supportive behaviour,is-a,type of teacher-behaviour,,,,,'poor parenting',18.0
12028612,Autonomy-suppressive behaviour,is-a,type of teacher-behaviour,,,,,'poor parenting',18.0
12028612,Relevance of schoolwork,is-a,factor influencing student engagement,,,,,'racial segreggation',27.0
12028612,Criticism-suppression,is-a,type of autonomy-suppressive behaviour,,,,,'higher stress level',29.0
12028612,Teacher's role,is-a,factor influencing student autonomy,,,,,'additional training at school',26.0
12028612,Provision of choice,is-a,indicator of autonomy support,,,,,'educational infrastructure',22.0
19772151,USAPI health disparities,is-a,health issue,,,,,'lower earning',14.0
19772151,Lack of skilled healthcare workers,is-a,health service issue,,,,,'cultural barriers',16.0
19772151,Family support,is-a,social determinant of health,,,,,'racial segreggation',19.0
19772151,Financial support,is-a,social determinant of health,,,,,'racial segreggation',19.0
19772151,Personal commitment,is-a,personal determinant of health,,,,,'additional training at school',21.0
19772151,Social support during school,is-a,social determinant of health,,,,,'racial segreggation',19.0
19772151,Limited academic preparation,is-a,educational determinant of health,,,,,'additional training at school',19.0
19772151,Exposure and guidance,is-a,social determinant of health,,,,,'racial segreggation',19.0
19772151,Family obligations,is-a,social determinant of health,,,,,'racial segreggation',19.0
19772151,Desirable careers,is-a,economic determinant of health,,,,,'additional training at school',23.0
19772151,Homesickness,is-a,psychological determinant of health,,,,,'additional training at school',24.0
19772151,Health career training,is-a,educational determinant of health,,,,,'additional training at school',19.0
26671345,Para-teachers,is-a,type of teacher,,,,,'lower earning',14.0
26671345,Remedial education classes,is-a,type of education,,,,,'poor parenting',13.0
26671345,Cluster-randomized controlled trial,is-a,type of scientific study,,,,,'poor parenting',17.0
26671345,Literacy and numeracy,is-a,type of educational outcome,,,,,'vocational training',19.0
26671345,Cost-effectiveness analysis,is-a,type of economic analysis,,,,,'lower earning',20.0
19421067,Didactic teaching,is-a,method of undergraduate education,,,,,'racial segreggation',24.0
19421067,Computer assisted learning,is-a,method of undergraduate education,,,,,'racial segreggation',24.0
19421067,Interactive multimedia-based tutorials,is-a,type of computer assisted learning,,,,,'lower earning',24.0
19421067,Traditional lecture-based models,is-a,type of didactic teaching,,,,,'vocational training',18.0
19421067,Arterial blood gas interpretation,is-a,subject in medical education,,,,,'racial segreggation',20.0
17277603,School-based physical activity intervention,is-a,Physical activity intervention,,,,,'high criminal activities',21.0
17277603,Action Schools! BC,is-a,School-based physical activity intervention,,,,,'high criminal activities',28.0
17277603,Canadian Achievement Test,is-a,Academic performance test,,,,,'cultural barriers',20.0
17277603,Physical Activity Questionnaire for Children,is-a,Physical activity measurement tool,,,,,'racial segreggation',25.0
17277603,Cluster randomized controlled trial,is-a,Research method,,,,,'lower earning',14.0
17277603,Academic performance,is-a,Education outcome,,,,,'vocational training',14.0
17277603,Physical activity,is-a,Health behavior,,,,,'lower earning',13.0
22473556,Problem-based learning,is-a,pedagogical method,,,,,'poor parenting',16.0
22473556,Health Sciences Reasoning Test,is-a,psychometric assessment,,,,,'employment prospect',18.0
22473556,Analysis,is-a,subscale of HSRT,,,,,'cultural barriers',15.0
22473556,Inference,is-a,subscale of HSRT,,,,,'cultural barriers',15.0
22473556,Evaluation,is-a,subscale of HSRT,,,,,'cultural barriers',15.0
22473556,Deductive reasoning,is-a,subscale of HSRT,,,,,'cultural barriers',15.0
22473556,Inductive reasoning,is-a,subscale of HSRT,,,,,'cultural barriers',15.0
12164624,PhD,is-a,advanced degree,,,,,'lower earning',14.0
12164624,MD/MS,is-a,advanced degree,,,,,'lower earning',14.0
12164624,Fellowship training,is-a,form of research training,,,,,'vocational training',15.0
14535146,Nursing student with learning disability,is-a,Student,,,,,'lower earning',13.0
14535146,Baccalaureate nursing student with learning disabilities,is-a,Nursing student,,,,,'bullying at school',14.0
14535146,Nursing program,is-a,Educational program,0.6666666666666667,,'educational infrastructure',,'vocational training',11.0
14535146,Learning disability,is-a,Disability,,,,,'lower earning',14.0
21561317,Rehabilitation counselling master programme,is-a,Educational programme,0.6666666666666667,,'educational infrastructure',,'vocational training',11.0
21561317,Assistive technology device selection,is-a,Professional practice,,,,,'vocational training',12.0
21561317,Referral of resources,is-a,Professional practice,,,,,'vocational training',12.0
21561317,Online survey,is-a,Research methodology,,,,,'lower earning',16.0
21561317,Descriptive statistics,is-a,Data analysis method,,,,,'cultural barriers',17.0
21561317,Cross tabulations,is-a,Data analysis method,,,,,'cultural barriers',17.0
21561317,Continuing education,is-a,Professional development method,,,,,'additional training at school',23.0
1123535,Subjects,is-a,Participant in semantic memory tasks,,,,,'racial segreggation',27.0
1123535,Semantic memory tasks,is-a,Psychological test,,,,,'cultural barriers',16.0
1123535,Recall task,is-a,Type of semantic memory task,,,,,'employment prospect',22.0
1123535,Recognition task,is-a,Type of semantic memory task,,,,,'employment prospect',22.0
9701300,CPR training,is-a,health education method,,,,,'alternative schooling',18.0
9701300,Instructor-taught CPR class,is-a,CPR training,0.6666666666666667,,'vocational training',,'lower earning',9.0
9701300,Self-training video module,is-a,CPR training,0.6666666666666667,,'vocational training',,'lower earning',9.0
9701300,Social support intervention,is-a,health support method,,,,,'cultural barriers',17.0
9701300,Successful CPR learners,is-a,group of individuals,,,,,'poor parenting',16.0
9701300,Unsuccessful CPR learners,is-a,group of individuals,,,,,'poor parenting',16.0
20098656,Professional continuing education,is-a,"Component of, librarianship",,,,,'vocational training',19.0
20098656,Online survey,is-a,"Method, for data collection",,,,,'employment prospect',20.0
20098656,Face-to-face instruction,is-a,"Preferred modality, for librarians",,,,,'vocational training',27.0
20098656,Cost,is-a,"Influential factor, for attending CE classes",,,,,'additional training at school',32.0
19811156,Pathology course,is-a,Medical course,,,,,'cultural barriers',14.0
19811156,Medical students,is-a,Students,,,,,'lower earning',13.0
19811156,Case seminar,is-a,Learning method,,,,,'lower earning',13.0
19811156,Student-centred activities,is-a,Learning method,,,,,'lower earning',13.0
19811156,Open-ended questionnaires,is-a,Evaluation method,,,,,'vocational training',15.0
19811156,Qualitative content analysis,is-a,Data analysis method,,,,,'cultural barriers',17.0
28252486,ADN-prepared nurses,is-a,Registered Nurses,,,,,'cultural barriers',14.0
28252486,Diploma-prepared nurses,is-a,Registered Nurses,,,,,'cultural barriers',14.0
28252486,BSN-prepared nurses,is-a,Registered Nurses,,,,,'cultural barriers',14.0
28252486,Institute of Medicine,is-a,Health Organization,,,,,'racial segreggation',13.0
28252486,Nurse leaders,is-a,Health Professionals,,,,,'poor parenting',15.0
28252486,Nurse educators,is-a,Health Professionals,,,,,'poor parenting',15.0
21951244,Self-management,is-a,vital element for optimal health outcomes,,,,,'employment prospect',31.0
21951244,Health literacy,is-a,determinant of self-management skills,,,,,'alternative schooling',28.0
21951244,Cognitive load theory,is-a,theoretical model for educational curriculum design,,,,,'social-emotional skills training',36.0
21951244,Learning mastery theory,is-a,theoretical model for educational curriculum design,,,,,'social-emotional skills training',36.0
21951244,Teach to Goal,is-a,multisession educational strategy,,,,,'vocational training',21.0
21951244,Randomized controlled trial,is-a,method for testing intervention strategies,,,,,'educational infrastructure',31.0
22076712,Primary Care Physicians,is-a,Healthcare Provider,,,,,'cultural barriers',14.0
22076712,Chronic Pain Patients,is-a,Patient,,,,,'poor parenting',12.0
22076712,Patient-centered Medical Home (PCMH) innovations,is-a,Healthcare Innovation,,,,,'racial segreggation',15.0
22076712,Family Medicine Residency Program,is-a,Medical Training Program,,,,,'vocational training',16.0
22076712,Negative Attitudes,is-a,Psychological State,,,,,'poor parenting',16.0
22076712,Pain Clinic,is-a,Healthcare Service,,,,,'cultural barriers',14.0
22076712,Pretest and Posttest,is-a,Evaluation Method,,,,,'vocational training',15.0
22076712,Family Medicine Residents,is-a,Medical Trainee,,,,,'vocational training',12.0
28406656,Tulsa's universal school-based pre-K program,is-a,Educational program,0.6666666666666667,,'educational infrastructure',,'vocational training',11.0
28406656,Path modeling techniques,is-a,Research method,,,,,'lower earning',14.0
28406656,Classroom Assessment Scoring System (CLASS),is-a,Assessment tool,,,,,'lower earning',14.0
28406656,Instructional Support,is-a,Aspect of classroom quality,,,,,'alternative schooling',22.0
28406656,Emotional Support,is-a,Aspect of classroom quality,,,,,'alternative schooling',22.0
28406656,Classroom Management,is-a,Aspect of classroom quality,,,,,'alternative schooling',22.0
28406656,Kindergarten academic skills,is-a,Educational outcome,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
28406656,Middle-school test scores,is-a,Educational outcome,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
28406656,Gender and income differences,is-a,Social determinant factor,,,,,'racial segreggation',17.0
28406656,Pre-K quality,is-a,Educational determinant,0.6666666666666667,,'educational infrastructure',,'vocational training',10.0
28406656,PsycINFO Database Record,is-a,Source of information,,,,,'racial segreggation',16.0
24730693,Fear appeals,is-a,type of persuasive messages,,,,,'poor parenting',20.0
24730693,Self-determined motivation,is-a,type of student motivation,,,,,'racial segreggation',19.0
24730693,Non-self-determined motivation,is-a,type of student motivation,,,,,'racial segreggation',19.0
24730693,Examination performance,is-a,type of academic performance,,,,,'employment prospect',22.0
24708279,Writing abilities,is-a,Academic skill,,,,,'lower earning',13.0
24708279,Performance feedback,is-a,Educational intervention,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
24708279,Generalization,is-a,Learning outcome,,,,,'bullying at school',14.0
24708279,Maintenance,is-a,Long-term learning effect,,,,,'lower earning',14.0
24708279,Practice-only condition,is-a,Learning method,,,,,'lower earning',13.0
24708279,Performance feedback condition,is-a,Learning method,,,,,'lower earning',13.0
23446934,Tier 1 Program of the Project P.A.T.H.S.,is-a,Program,,,,,'lower earning',12.0
23446934,Classroom control,is-a,Aspect of program delivery,,,,,'poor parenting',20.0
23446934,Interactive delivery method,is-a,Aspect of program delivery,,,,,'poor parenting',20.0
23446934,Use of positive and supportive feedback,is-a,Aspect of program delivery,,,,,'poor parenting',20.0
23446934,Opportunity for reflection,is-a,Aspect of program delivery,,,,,'poor parenting',20.0
23446934,Degree of achievement of the objectives,is-a,Aspect of program delivery,,,,,'poor parenting',20.0
23446934,Time management,is-a,Aspect of program delivery,,,,,'poor parenting',20.0
23446934,Lesson preparation,is-a,Aspect of program delivery,,,,,'poor parenting',20.0
20946674,Effective teaching,is-a,understanding of both content and process knowledge,,,,,'additional training at school',38.0
20946674,Preceptors with content expertise,is-a,tutor type,,,,,'poor parenting',12.0
